Line,Smell,Threshold,File
620,long message chain,4,../input_projects/multi_projects/zulip/corporate/views/remote_billing_page.py
34,long message chain,4,../input_projects/multi_projects/zulip/zilencer/migrations/0037_alter_remoteinstallationcount_unique_together_and_more.py
45,long message chain,4,../input_projects/multi_projects/zulip/zilencer/migrations/0027_backfill_remote_realmauditlog_extradata_to_json_field.py
470,long message chain,4,../input_projects/multi_projects/zulip/zilencer/models.py
1136,long message chain,4,../input_projects/multi_projects/zulip/zilencer/views.py
74,long message chain,4,../input_projects/multi_projects/zulip/zerver/migrations/0460_backfill_realmauditlog_extradata_to_json_field.py
85,long message chain,4,../input_projects/multi_projects/zulip/zerver/migrations/0460_backfill_realmauditlog_extradata_to_json_field.py
52,long message chain,4,../input_projects/multi_projects/zulip/zerver/migrations/0472_add_message_realm_id_indexes.py
62,long message chain,4,../input_projects/multi_projects/zulip/zerver/migrations/0472_add_message_realm_id_indexes.py
17,long message chain,4,../input_projects/multi_projects/zulip/zerver/migrations/0287_clear_duplicate_reactions.py
28,long message chain,4,../input_projects/multi_projects/zulip/zerver/migrations/0429_user_topic_case_insensitive_unique_toghether.py
22,long message chain,4,../input_projects/multi_projects/zulip/zerver/migrations/0074_fix_duplicate_attachments.py
1496,long message chain,4,../input_projects/multi_projects/zulip/zerver/tests/test_push_notifications.py
277,long message chain,4,../input_projects/multi_projects/zulip/zerver/tests/test_signup.py
1733,long message chain,4,../input_projects/multi_projects/zulip/zerver/tests/test_message_send.py
1744,long message chain,4,../input_projects/multi_projects/zulip/zerver/tests/test_message_send.py
1752,long message chain,4,../input_projects/multi_projects/zulip/zerver/tests/test_message_send.py
2061,long message chain,4,../input_projects/multi_projects/zulip/zerver/tests/test_message_send.py
2071,long message chain,4,../input_projects/multi_projects/zulip/zerver/tests/test_message_send.py
2080,long message chain,4,../input_projects/multi_projects/zulip/zerver/tests/test_message_send.py
1427,long message chain,4,../input_projects/multi_projects/zulip/zerver/tests/test_events.py
1443,long message chain,4,../input_projects/multi_projects/zulip/zerver/tests/test_events.py
573,long message chain,4,../input_projects/multi_projects/zulip/zerver/tests/test_message_flags.py
41,long message chain,4,../input_projects/multi_projects/zulip/zerver/management/commands/deliver_scheduled_emails.py
280,long message chain,4,../input_projects/multi_projects/zulip/zerver/actions/message_flags.py
114,long message chain,4,../input_projects/multi_projects/zulip/zerver/lib/digest.py
186,long message chain,4,../input_projects/multi_projects/zulip/zerver/lib/digest.py
298,long message chain,4,../input_projects/multi_projects/zulip/zerver/lib/digest.py
250,long message chain,4,../input_projects/multi_projects/zulip/zerver/lib/home.py
761,long message chain,4,../input_projects/multi_projects/zulip/zerver/lib/users.py
1061,long message chain,4,../input_projects/multi_projects/zulip/zerver/lib/users.py
27,long message chain,4,../input_projects/multi_projects/zulip/zerver/lib/onboarding.py
1094,long message chain,4,../input_projects/multi_projects/zulip/zerver/lib/message.py
1113,long message chain,4,../input_projects/multi_projects/zulip/zerver/lib/message.py
438,long message chain,4,../input_projects/multi_projects/zulip/zerver/lib/retention.py
212,long message chain,4,../input_projects/multi_projects/zulip/zerver/lib/soft_deactivation.py
1057,long message chain,4,../input_projects/multi_projects/zulip/zerver/lib/push_notifications.py
72,long message chain,4,../input_projects/multi_projects/zulip/zerver/views/read_receipts.py
35,long message chain,4,../input_projects/multi_projects/zulip/analytics/migrations/0015_clear_duplicate_counts.py
