Line,Smell,Number of Lines,Threshold,File
781,long method,160,100,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
957,long method,122,100,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
1082,long method,216,100,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
1301,long method,151,100,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
2133,long method,133,100,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
2268,long method,112,100,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
2383,long method,188,100,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
2574,long method,115,100,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
2692,long method,177,100,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
3106,long method,109,100,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
3338,long method,131,100,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
3813,long method,143,100,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
5703,long method,107,100,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
5823,long method,112,100,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
44,long method,125,100,../input_projects/multi_projects/zulip/corporate/tests/test_remote_billing.py
768,long method,105,100,../input_projects/multi_projects/zulip/corporate/tests/test_remote_billing.py
1156,long method,172,100,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
1496,long method,157,100,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
1685,long method,106,100,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
1831,long method,103,100,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
1984,long method,133,100,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
2162,long method,107,100,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
151,long method,181,100,../input_projects/multi_projects/zulip/corporate/views/remote_billing_page.py
629,long method,129,100,../input_projects/multi_projects/zulip/corporate/views/remote_billing_page.py
54,long method,209,100,../input_projects/multi_projects/zulip/tools/lib/template_parser.py
354,long method,146,100,../input_projects/multi_projects/zulip/tools/lib/template_parser.py
356,long method,121,100,../input_projects/multi_projects/zulip/tools/lib/provision.py
216,long method,155,100,../input_projects/multi_projects/zulip/tools/lib/provision_inner.py
42,long method,109,100,../input_projects/multi_projects/zulip/zilencer/management/commands/add_mock_conversation.py
81,long method,172,100,../input_projects/multi_projects/zulip/zilencer/management/commands/populate_billing_realms.py
295,long method,779,100,../input_projects/multi_projects/zulip/zilencer/management/commands/populate_db.py
1109,long method,117,100,../input_projects/multi_projects/zulip/zilencer/management/commands/populate_db.py
406,long method,168,100,../input_projects/multi_projects/zulip/zilencer/views.py
674,long method,131,100,../input_projects/multi_projects/zulip/zilencer/views.py
917,long method,174,100,../input_projects/multi_projects/zulip/zilencer/views.py
75,long method,118,100,../input_projects/multi_projects/zulip/scripts/setup/generate_secrets.py
39,long method,115,100,../input_projects/multi_projects/zulip/zerver/migrations/0460_backfill_realmauditlog_extradata_to_json_field.py
14,long method,113,100,../input_projects/multi_projects/zulip/zerver/migrations/0403_create_role_based_groups_for_internal_realms.py
9,long method,111,100,../input_projects/multi_projects/zulip/zerver/migrations/0382_create_role_based_system_groups.py
11,long method,126,100,../input_projects/multi_projects/zulip/zerver/migrations/0450_backfill_subscription_auditlogs.py
18,long method,194,100,../input_projects/multi_projects/zulip/zerver/migrations/0209_user_profile_no_empty_password.py
10,long method,144,100,../input_projects/multi_projects/zulip/zerver/migrations/0423_fix_email_gateway_attachment_owner.py
18,long method,120,100,../input_projects/multi_projects/zulip/zerver/tests/test_user_status.py
148,long method,165,100,../input_projects/multi_projects/zulip/zerver/tests/test_user_status.py
682,long method,141,100,../input_projects/multi_projects/zulip/zerver/tests/test_home.py
837,long method,145,100,../input_projects/multi_projects/zulip/zerver/tests/test_home.py
245,long method,115,100,../input_projects/multi_projects/zulip/zerver/tests/test_custom_profile_data.py
462,long method,129,100,../input_projects/multi_projects/zulip/zerver/tests/test_custom_profile_data.py
169,long method,103,100,../input_projects/multi_projects/zulip/zerver/tests/test_push_notifications.py
558,long method,106,100,../input_projects/multi_projects/zulip/zerver/tests/test_push_notifications.py
666,long method,169,100,../input_projects/multi_projects/zulip/zerver/tests/test_push_notifications.py
1038,long method,162,100,../input_projects/multi_projects/zulip/zerver/tests/test_push_notifications.py
1306,long method,384,100,../input_projects/multi_projects/zulip/zerver/tests/test_push_notifications.py
1694,long method,131,100,../input_projects/multi_projects/zulip/zerver/tests/test_push_notifications.py
2091,long method,172,100,../input_projects/multi_projects/zulip/zerver/tests/test_push_notifications.py
3148,long method,120,100,../input_projects/multi_projects/zulip/zerver/tests/test_push_notifications.py
133,long method,153,100,../input_projects/multi_projects/zulip/zerver/tests/test_decorators.py
288,long method,131,100,../input_projects/multi_projects/zulip/zerver/tests/test_event_system.py
919,long method,185,100,../input_projects/multi_projects/zulip/zerver/tests/test_event_system.py
337,long method,186,100,../input_projects/multi_projects/zulip/zerver/tests/test_soft_deactivation.py
560,long method,226,100,../input_projects/multi_projects/zulip/zerver/tests/test_soft_deactivation.py
29,long method,113,100,../input_projects/multi_projects/zulip/zerver/tests/test_message_dict.py
31,long method,123,100,../input_projects/multi_projects/zulip/zerver/tests/test_message_topics.py
1127,long method,118,100,../input_projects/multi_projects/zulip/zerver/tests/test_realm.py
1670,long method,132,100,../input_projects/multi_projects/zulip/zerver/tests/test_realm.py
1147,long method,136,100,../input_projects/multi_projects/zulip/zerver/tests/test_subs.py
1593,long method,108,100,../input_projects/multi_projects/zulip/zerver/tests/test_subs.py
