Line,Smell,Number of Parameters,Threshold,File
573,long parameters,7,5,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
669,long parameters,6,5,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
684,long parameters,6,5,../input_projects/multi_projects/zulip/corporate/tests/test_stripe.py
44,long parameters,9,5,../input_projects/multi_projects/zulip/corporate/tests/test_remote_billing.py
768,long parameters,7,5,../input_projects/multi_projects/zulip/corporate/tests/test_remote_billing.py
215,long parameters,7,5,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
1090,long parameters,7,5,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
1156,long parameters,9,5,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
3845,long parameters,7,5,../input_projects/multi_projects/zulip/corporate/lib/stripe.py
227,long parameters,6,5,../input_projects/multi_projects/zulip/corporate/views/billing_page.py
255,long parameters,6,5,../input_projects/multi_projects/zulip/corporate/views/billing_page.py
282,long parameters,6,5,../input_projects/multi_projects/zulip/corporate/views/billing_page.py
93,long parameters,6,5,../input_projects/multi_projects/zulip/corporate/views/event_status.py
111,long parameters,6,5,../input_projects/multi_projects/zulip/corporate/views/event_status.py
79,long parameters,7,5,../input_projects/multi_projects/zulip/corporate/views/remote_billing_page.py
151,long parameters,7,5,../input_projects/multi_projects/zulip/corporate/views/remote_billing_page.py
629,long parameters,7,5,../input_projects/multi_projects/zulip/corporate/views/remote_billing_page.py
38,long parameters,8,5,../input_projects/multi_projects/zulip/corporate/views/upgrade.py
88,long parameters,9,5,../input_projects/multi_projects/zulip/corporate/views/upgrade.py
137,long parameters,9,5,../input_projects/multi_projects/zulip/corporate/views/upgrade.py
178,long parameters,6,5,../input_projects/multi_projects/zulip/tools/droplets/create.py
33,long parameters,7,5,../input_projects/multi_projects/zulip/tools/lib/template_parser.py
109,long parameters,6,5,../input_projects/multi_projects/zulip/zilencer/views.py
172,long parameters,8,5,../input_projects/multi_projects/zulip/zilencer/views.py
228,long parameters,6,5,../input_projects/multi_projects/zulip/zilencer/views.py
917,long parameters,9,5,../input_projects/multi_projects/zulip/zilencer/views.py
127,long parameters,6,5,../input_projects/multi_projects/zulip/confirmation/models.py
405,long parameters,6,5,../input_projects/multi_projects/zulip/scripts/lib/zulip_tools.py
203,long parameters,6,5,../input_projects/multi_projects/zulip/zerver/decorator.py
58,long parameters,6,5,../input_projects/multi_projects/zulip/zerver/tests/test_email_mirror.py
1108,long parameters,6,5,../input_projects/multi_projects/zulip/zerver/tests/test_event_system.py
64,long parameters,6,5,../input_projects/multi_projects/zulip/zerver/tests/test_middleware.py
38,long parameters,6,5,../input_projects/multi_projects/zulip/zerver/tests/test_delete_unclaimed_attachments.py
2526,long parameters,10,5,../input_projects/multi_projects/zulip/zerver/tests/test_subs.py
4070,long parameters,9,5,../input_projects/multi_projects/zulip/zerver/tests/test_subs.py
4549,long parameters,6,5,../input_projects/multi_projects/zulip/zerver/tests/test_subs.py
5187,long parameters,6,5,../input_projects/multi_projects/zulip/zerver/tests/test_subs.py
55,long parameters,6,5,../input_projects/multi_projects/zulip/zerver/tests/test_docs.py
117,long parameters,7,5,../input_projects/multi_projects/zulip/zerver/tests/test_realm_export.py
574,long parameters,6,5,../input_projects/multi_projects/zulip/zerver/tests/test_openapi.py
20,long parameters,7,5,../input_projects/multi_projects/zulip/zerver/tests/test_subdomains.py
102,long parameters,9,5,../input_projects/multi_projects/zulip/zerver/tests/test_message_notification_emails.py
549,long parameters,6,5,../input_projects/multi_projects/zulip/zerver/tests/test_email_notifications.py
567,long parameters,7,5,../input_projects/multi_projects/zulip/zerver/tests/test_digest.py
105,long parameters,6,5,../input_projects/multi_projects/zulip/zerver/tests/test_message_edit.py
80,long parameters,9,5,../input_projects/multi_projects/zulip/zerver/tests/test_typed_endpoint.py
334,long parameters,7,5,../input_projects/multi_projects/zulip/zerver/tests/test_typed_endpoint.py
2095,long parameters,7,5,../input_projects/multi_projects/zulip/zerver/tests/test_signup.py
1059,long parameters,12,5,../input_projects/multi_projects/zulip/zerver/tests/test_message_fetch.py
1266,long parameters,8,5,../input_projects/multi_projects/zulip/zerver/tests/test_slack_importer.py
1472,long parameters,8,5,../input_projects/multi_projects/zulip/zerver/tests/test_slack_importer.py
660,long parameters,6,5,../input_projects/multi_projects/zulip/zerver/tests/test_auth_backends.py
932,long parameters,10,5,../input_projects/multi_projects/zulip/zerver/tests/test_auth_backends.py
972,long parameters,6,5,../input_projects/multi_projects/zulip/zerver/tests/test_auth_backends.py
993,long parameters,13,5,../input_projects/multi_projects/zulip/zerver/tests/test_auth_backends.py
1413,long parameters,12,5,../input_projects/multi_projects/zulip/zerver/tests/test_auth_backends.py
1954,long parameters,12,5,../input_projects/multi_projects/zulip/zerver/tests/test_auth_backends.py
3339,long parameters,6,5,../input_projects/multi_projects/zulip/zerver/tests/test_auth_backends.py
3466,long parameters,12,5,../input_projects/multi_projects/zulip/zerver/tests/test_auth_backends.py
3508,long parameters,13,5,../input_projects/multi_projects/zulip/zerver/tests/test_auth_backends.py
3917,long parameters,7,5,../input_projects/multi_projects/zulip/zerver/tests/test_auth_backends.py
141,long parameters,7,5,../input_projects/multi_projects/zulip/zerver/tests/test_message_edit_notifications.py
272,long parameters,18,5,../input_projects/multi_projects/zulip/zerver/tests/test_events.py
171,long parameters,7,5,../input_projects/multi_projects/zulip/zerver/tests/test_invite.py
244,long parameters,8,5,../input_projects/multi_projects/zulip/zerver/tests/test_invite.py
331,long parameters,6,5,../input_projects/multi_projects/zulip/zerver/tests/test_link_embed.py
107,long parameters,9,5,../input_projects/multi_projects/zulip/zerver/management/commands/makemessages.py
458,long parameters,7,5,../input_projects/multi_projects/zulip/zerver/openapi/openapi.py
263,long parameters,7,5,../input_projects/multi_projects/zulip/zerver/openapi/markdown_extension.py
355,long parameters,10,5,../input_projects/multi_projects/zulip/zerver/forms.py
78,long parameters,18,5,../input_projects/multi_projects/zulip/zerver/tornado/event_queue.py
660,long parameters,7,5,../input_projects/multi_projects/zulip/zerver/tornado/event_queue.py
890,long parameters,7,5,../input_projects/multi_projects/zulip/zerver/tornado/event_queue.py
1416,long parameters,6,5,../input_projects/multi_projects/zulip/zerver/tornado/event_queue.py
36,long parameters,7,5,../input_projects/multi_projects/zulip/zerver/tornado/django_api.py
76,long parameters,15,5,../input_projects/multi_projects/zulip/zerver/tornado/django_api.py
