Line,Smell,Cause,Number of Conditions,Threshold,File
382,complex conditional,long if,4,3,../input_projects/py_projects/django/tests/model_forms/models.py
313,complex conditional,long if,5,3,../input_projects/py_projects/django/tests/auth_tests/test_auth_backends.py
60,complex conditional,long if,4,3,../input_projects/py_projects/django/tests/forms_tests/tests/test_fields.py
122,complex conditional,long if,4,3,../input_projects/py_projects/django/tests/inspectdb/tests.py
321,complex conditional,long if,4,3,../input_projects/py_projects/django/tests/file_storage/tests.py
21,complex conditional,long if,4,3,../input_projects/py_projects/django/tests/invalid_models_tests/test_models.py
314,complex conditional,long if,4,3,../input_projects/py_projects/django/tests/runtests.py
370,complex conditional,long if,9,3,../input_projects/py_projects/django/tests/runtests.py
34,complex conditional,long if,4,3,../input_projects/py_projects/django/tests/gis_tests/utils.py
25,complex conditional,long if,4,3,../input_projects/py_projects/django/tests/gis_tests/tests.py
321,complex conditional,long if,4,3,../input_projects/py_projects/django/docs/_ext/djangodocs.py
11,complex conditional,long if,4,3,../input_projects/py_projects/django/setup.py
50,complex conditional,long if,4,3,../input_projects/py_projects/django/scripts/manage_translations.py
137,complex conditional,long if,4,3,../input_projects/py_projects/django/django/templatetags/i18n.py
360,complex conditional,long if,4,3,../input_projects/py_projects/django/django/templatetags/i18n.py
373,complex conditional,long if,4,3,../input_projects/py_projects/django/django/templatetags/i18n.py
433,complex conditional,long if,7,3,../input_projects/py_projects/django/django/templatetags/i18n.py
479,complex conditional,long if,4,3,../input_projects/py_projects/django/django/templatetags/i18n.py
125,complex conditional,long if,10,3,../input_projects/py_projects/django/django/middleware/csrf.py
72,complex conditional,long if,4,3,../input_projects/py_projects/django/django/middleware/common.py
113,complex conditional,long if,6,3,../input_projects/py_projects/django/django/middleware/common.py
138,complex conditional,long if,4,3,../input_projects/py_projects/django/django/middleware/common.py
30,complex conditional,long if,5,3,../input_projects/py_projects/django/django/middleware/http.py
39,complex conditional,long if,4,3,../input_projects/py_projects/django/django/middleware/locale.py
139,complex conditional,long if,4,3,../input_projects/py_projects/django/django/forms/models.py
268,complex conditional,long if,6,3,../input_projects/py_projects/django/django/forms/models.py
351,complex conditional,long if,6,3,../input_projects/py_projects/django/django/forms/models.py
603,complex conditional,long if,4,3,../input_projects/py_projects/django/django/forms/models.py
670,complex conditional,long if,4,3,../input_projects/py_projects/django/django/forms/models.py
689,complex conditional,long if,4,3,../input_projects/py_projects/django/django/forms/models.py
746,complex conditional,long if,6,3,../input_projects/py_projects/django/django/forms/models.py
789,complex conditional,long if,7,3,../input_projects/py_projects/django/django/forms/models.py
955,complex conditional,long if,10,3,../input_projects/py_projects/django/django/forms/models.py
270,complex conditional,long if,4,3,../input_projects/py_projects/django/django/forms/fields.py
504,complex conditional,long if,4,3,../input_projects/py_projects/django/django/forms/fields.py
729,complex conditional,long if,4,3,../input_projects/py_projects/django/django/forms/fields.py
877,complex conditional,long if,4,3,../input_projects/py_projects/django/django/forms/fields.py
1071,complex conditional,long if,5,3,../input_projects/py_projects/django/django/forms/fields.py
1084,complex conditional,long if,6,3,../input_projects/py_projects/django/django/forms/fields.py
1157,complex conditional,long if,9,3,../input_projects/py_projects/django/django/forms/fields.py
1211,complex conditional,long if,4,3,../input_projects/py_projects/django/django/forms/fields.py
122,complex conditional,long if,4,3,../input_projects/py_projects/django/django/forms/widgets.py
110,complex conditional,long if,4,3,../input_projects/py_projects/django/django/forms/formsets.py
209,complex conditional,long if,4,3,../input_projects/py_projects/django/django/forms/formsets.py
232,complex conditional,long if,5,3,../input_projects/py_projects/django/django/forms/formsets.py
64,complex conditional,long if,4,3,../input_projects/py_projects/django/django/forms/forms.py
211,complex conditional,long if,7,3,../input_projects/py_projects/django/django/forms/forms.py
250,complex conditional,long if,4,3,../input_projects/py_projects/django/django/forms/forms.py
357,complex conditional,long if,4,3,../input_projects/py_projects/django/django/forms/forms.py
448,complex conditional,long if,5,3,../input_projects/py_projects/django/django/forms/forms.py
629,complex conditional,long if,5,3,../input_projects/py_projects/django/django/forms/forms.py
669,complex conditional,long if,6,3,../input_projects/py_projects/django/django/forms/forms.py
26,complex conditional,long if,6,3,../input_projects/py_projects/django/django/forms/extras/widgets.py
67,complex conditional,long if,4,3,../input_projects/py_projects/django/django/forms/extras/widgets.py
87,complex conditional,long if,4,3,../input_projects/py_projects/django/django/forms/extras/widgets.py
195,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/signing.py
38,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/cache/backends/filebased.py
172,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/mail/message.py
332,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/mail/message.py
353,complex conditional,long if,5,3,../input_projects/py_projects/django/django/core/mail/message.py
68,complex conditional,long if,5,3,../input_projects/py_projects/django/django/core/checks/security/sessions.py
47,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/checks/registry.py
139,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/__init__.py
230,complex conditional,long if,10,3,../input_projects/py_projects/django/django/core/management/__init__.py
316,complex conditional,long if,6,3,../input_projects/py_projects/django/django/core/management/__init__.py
71,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/templates.py
168,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/templates.py
184,complex conditional,long if,6,3,../input_projects/py_projects/django/django/core/management/templates.py
90,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/commands/inspectdb.py
96,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/commands/inspectdb.py
113,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/commands/inspectdb.py
228,complex conditional,long if,5,3,../input_projects/py_projects/django/django/core/management/commands/inspectdb.py
62,complex conditional,long if,5,3,../input_projects/py_projects/django/django/core/management/commands/squashmigrations.py
93,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/commands/squashmigrations.py
101,complex conditional,long if,6,3,../input_projects/py_projects/django/django/core/management/commands/squashmigrations.py
128,complex conditional,long if,6,3,../input_projects/py_projects/django/django/core/management/commands/makemigrations.py
160,complex conditional,long if,6,3,../input_projects/py_projects/django/django/core/management/commands/makemigrations.py
221,complex conditional,long if,6,3,../input_projects/py_projects/django/django/core/management/commands/makemigrations.py
87,complex conditional,long if,6,3,../input_projects/py_projects/django/django/core/management/commands/makemessages.py
141,complex conditional,long if,5,3,../input_projects/py_projects/django/django/core/management/commands/makemessages.py
151,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/commands/makemessages.py
270,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/commands/makemessages.py
287,complex conditional,long if,5,3,../input_projects/py_projects/django/django/core/management/commands/makemessages.py
369,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/commands/makemessages.py
416,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/commands/makemessages.py
427,complex conditional,long if,6,3,../input_projects/py_projects/django/django/core/management/commands/makemessages.py
456,complex conditional,long if,6,3,../input_projects/py_projects/django/django/core/management/commands/makemessages.py
475,complex conditional,long if,5,3,../input_projects/py_projects/django/django/core/management/commands/makemessages.py
498,complex conditional,long if,5,3,../input_projects/py_projects/django/django/core/management/commands/makemessages.py
89,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/commands/shell.py
83,complex conditional,long if,10,3,../input_projects/py_projects/django/django/core/management/commands/dumpdata.py
143,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/commands/dumpdata.py
65,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/commands/flush.py
103,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/commands/loaddata.py
112,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/commands/loaddata.py
67,complex conditional,long if,7,3,../input_projects/py_projects/django/django/core/management/commands/runserver.py
34,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/commands/syncdb.py
47,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/commands/showmigrations.py
64,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/commands/showmigrations.py
111,complex conditional,long if,7,3,../input_projects/py_projects/django/django/core/management/commands/migrate.py
149,complex conditional,long if,5,3,../input_projects/py_projects/django/django/core/management/commands/migrate.py
199,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/commands/migrate.py
228,complex conditional,long if,16,3,../input_projects/py_projects/django/django/core/management/commands/migrate.py
330,complex conditional,long if,6,3,../input_projects/py_projects/django/django/core/management/commands/migrate.py
33,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/management/commands/diffsettings.py
442,complex conditional,long if,5,3,../input_projects/py_projects/django/django/core/management/base.py
484,complex conditional,long if,9,3,../input_projects/py_projects/django/django/core/management/base.py
512,complex conditional,long if,5,3,../input_projects/py_projects/django/django/core/management/base.py
207,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/serializers/xml_serializer.py
228,complex conditional,long if,5,3,../input_projects/py_projects/django/django/core/serializers/xml_serializer.py
58,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/serializers/python.py
123,complex conditional,long if,9,3,../input_projects/py_projects/django/django/core/serializers/python.py
93,complex conditional,long if,9,3,../input_projects/py_projects/django/django/core/serializers/json.py
58,complex conditional,long if,5,3,../input_projects/py_projects/django/django/core/serializers/base.py
286,complex conditional,long if,5,3,../input_projects/py_projects/django/django/core/urlresolvers.py
301,complex conditional,long if,5,3,../input_projects/py_projects/django/django/core/urlresolvers.py
364,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/urlresolvers.py
452,complex conditional,long if,6,3,../input_projects/py_projects/django/django/core/urlresolvers.py
535,complex conditional,long if,6,3,../input_projects/py_projects/django/django/core/urlresolvers.py
212,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/files/storage.py
239,complex conditional,long if,5,3,../input_projects/py_projects/django/django/core/files/storage.py
99,complex conditional,long if,5,3,../input_projects/py_projects/django/django/core/exceptions.py
110,complex conditional,long if,6,3,../input_projects/py_projects/django/django/core/exceptions.py
112,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/handlers/base.py
129,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/handlers/base.py
147,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/servers/fastcgi.py
156,complex conditional,long if,4,3,../input_projects/py_projects/django/django/core/servers/fastcgi.py
118,complex conditional,long if,8,3,../input_projects/py_projects/django/django/core/servers/basehttp.py
52,complex conditional,long if,4,3,../input_projects/py_projects/django/django/test/signals.py
120,complex conditional,long if,5,3,../input_projects/py_projects/django/django/test/runner.py
335,complex conditional,long if,4,3,../input_projects/py_projects/django/django/test/runner.py
169,complex conditional,long if,4,3,../input_projects/py_projects/django/django/test/client.py
28,complex conditional,long if,7,3,../input_projects/py_projects/django/django/test/html.py
48,complex conditional,long if,4,3,../input_projects/py_projects/django/django/test/html.py
70,complex conditional,long if,5,3,../input_projects/py_projects/django/django/test/html.py
101,complex conditional,long if,6,3,../input_projects/py_projects/django/django/test/html.py
271,complex conditional,long if,7,3,../input_projects/py_projects/django/django/test/utils.py
397,complex conditional,long if,4,3,../input_projects/py_projects/django/django/test/testcases.py
455,complex conditional,long if,5,3,../input_projects/py_projects/django/django/test/testcases.py
823,complex conditional,long if,4,3,../input_projects/py_projects/django/django/test/testcases.py
60,complex conditional,long if,5,3,../input_projects/py_projects/django/django/shortcuts.py
126,complex conditional,long if,5,3,../input_projects/py_projects/django/django/shortcuts.py
114,complex conditional,long if,4,3,../input_projects/py_projects/django/django/dispatch/dispatcher.py
271,complex conditional,long if,5,3,../input_projects/py_projects/django/django/dispatch/dispatcher.py
55,complex conditional,long if,4,3,../input_projects/py_projects/django/django/template/backends/django.py
900,complex conditional,long if,6,3,../input_projects/py_projects/django/django/template/defaultfilters.py
29,complex conditional,long if,4,3,../input_projects/py_projects/django/django/template/engine.py
111,complex conditional,long if,4,3,../input_projects/py_projects/django/django/template/engine.py
91,complex conditional,long if,10,3,../input_projects/py_projects/django/django/template/loader.py
54,complex conditional,long if,4,3,../input_projects/py_projects/django/django/template/loader_tags.py
246,complex conditional,long if,4,3,../input_projects/py_projects/django/django/template/loader_tags.py
59,complex conditional,long if,4,3,../input_projects/py_projects/django/django/template/loaders/cached.py
277,complex conditional,long if,7,3,../input_projects/py_projects/django/django/template/base.py
311,complex conditional,long if,8,3,../input_projects/py_projects/django/django/template/base.py
613,complex conditional,long if,6,3,../input_projects/py_projects/django/django/template/base.py
645,complex conditional,long if,5,3,../input_projects/py_projects/django/django/template/base.py
840,complex conditional,long if,4,3,../input_projects/py_projects/django/django/template/base.py
992,complex conditional,long if,4,3,../input_projects/py_projects/django/django/template/base.py
1000,complex conditional,long if,4,3,../input_projects/py_projects/django/django/template/base.py
1039,complex conditional,long if,7,3,../input_projects/py_projects/django/django/template/base.py
1124,complex conditional,long if,5,3,../input_projects/py_projects/django/django/template/base.py
1149,complex conditional,long if,7,3,../input_projects/py_projects/django/django/template/base.py
1274,complex conditional,long if,5,3,../input_projects/py_projects/django/django/template/base.py
1386,complex conditional,long if,4,3,../input_projects/py_projects/django/django/template/base.py
56,complex conditional,long if,4,3,../input_projects/py_projects/django/django/template/defaulttags.py
185,complex conditional,long if,4,3,../input_projects/py_projects/django/django/template/defaulttags.py
496,complex conditional,long if,4,3,../input_projects/py_projects/django/django/template/defaulttags.py
659,complex conditional,long if,4,3,../input_projects/py_projects/django/django/template/defaulttags.py
670,complex conditional,long if,5,3,../input_projects/py_projects/django/django/template/defaulttags.py
1134,complex conditional,long if,5,3,../input_projects/py_projects/django/django/template/defaulttags.py
1449,complex conditional,long if,4,3,../input_projects/py_projects/django/django/template/defaulttags.py
1508,complex conditional,long if,4,3,../input_projects/py_projects/django/django/template/defaulttags.py
178,complex conditional,long if,8,3,../input_projects/py_projects/django/django/utils/termcolors.py
37,complex conditional,long if,4,3,../input_projects/py_projects/django/django/utils/lru_cache.py
84,complex conditional,long if,8,3,../input_projects/py_projects/django/django/utils/lru_cache.py
20,complex conditional,long if,17,3,../input_projects/py_projects/django/django/utils/html_parser.py
22,complex conditional,long if,4,3,../input_projects/py_projects/django/django/utils/version.py
85,complex conditional,long if,5,3,../input_projects/py_projects/django/django/utils/encoding.py
145,complex conditional,long if,4,3,../input_projects/py_projects/django/django/utils/encoding.py
207,complex conditional,long if,5,3,../input_projects/py_projects/django/django/utils/jslex.py
76,complex conditional,long if,4,3,../input_projects/py_projects/django/django/utils/translation/trans_real.py
442,complex conditional,long if,5,3,../input_projects/py_projects/django/django/utils/translation/trans_real.py
577,complex conditional,long if,39,3,../input_projects/py_projects/django/django/utils/translation/trans_real.py
8,complex conditional,long if,6,3,../input_projects/py_projects/django/django/utils/daemonize.py
309,complex conditional,long if,15,3,../input_projects/py_projects/django/django/utils/html.py
383,complex conditional,long if,4,3,../input_projects/py_projects/django/django/utils/html.py
118,complex conditional,long if,5,3,../input_projects/py_projects/django/django/utils/functional.py
414,complex conditional,long if,4,3,../input_projects/py_projects/django/django/utils/functional.py
79,complex conditional,long if,4,3,../input_projects/py_projects/django/django/utils/crypto.py
124,complex conditional,long if,8,3,../input_projects/py_projects/django/django/utils/crypto.py
92,complex conditional,long if,21,3,../input_projects/py_projects/django/django/utils/regex_helper.py
238,complex conditional,long if,5,3,../input_projects/py_projects/django/django/utils/regex_helper.py
257,complex conditional,long if,4,3,../input_projects/py_projects/django/django/utils/regex_helper.py
25,complex conditional,long if,5,3,../input_projects/py_projects/django/django/utils/importlib.py
