Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
14,long class,218,200,25,20,../input_projects/py_projects/django/tests/generic_views/test_list.py
24,long class,1082,200,73,20,../input_projects/py_projects/django/tests/expressions_case/tests.py
171,long class,352,200,31,20,../input_projects/py_projects/django/tests/model_forms/tests.py
641,long class,255,200,18,20,../input_projects/py_projects/django/tests/model_forms/tests.py
971,long class,404,200,14,20,../input_projects/py_projects/django/tests/model_forms/tests.py
1762,long class,346,200,10,20,../input_projects/py_projects/django/tests/model_forms/tests.py
49,long class,506,200,32,20,../input_projects/py_projects/django/tests/fixtures_regress/tests.py
558,long class,218,200,16,20,../input_projects/py_projects/django/tests/fixtures_regress/tests.py
21,long class,677,200,29,20,../input_projects/py_projects/django/tests/aggregation/tests.py
701,long class,269,200,22,20,../input_projects/py_projects/django/tests/aggregation/tests.py
6,long class,196,200,22,20,../input_projects/py_projects/django/tests/middleware/test_security.py
31,long class,238,200,24,20,../input_projects/py_projects/django/tests/middleware/tests.py
330,long class,136,200,21,20,../input_projects/py_projects/django/tests/middleware/tests.py
97,long class,260,200,13,20,../input_projects/py_projects/django/tests/admin_utils/tests.py
16,long class,218,200,11,20,../input_projects/py_projects/django/tests/pagination/tests.py
160,long class,255,200,13,20,../input_projects/py_projects/django/tests/auth_tests/test_management.py
115,long class,216,200,23,20,../input_projects/py_projects/django/tests/auth_tests/test_views.py
33,long class,294,200,26,20,../input_projects/py_projects/django/tests/auth_tests/test_hashers.py
10,long class,414,200,20,20,../input_projects/py_projects/django/tests/migrations/test_optimizer.py
45,long class,268,200,13,20,../input_projects/py_projects/django/tests/migrations/test_loader.py
155,long class,337,200,30,20,../input_projects/py_projects/django/tests/migrations/test_writer.py
156,long class,1680,200,62,20,../input_projects/py_projects/django/tests/migrations/test_operations.py
17,long class,695,200,15,20,../input_projects/py_projects/django/tests/migrations/test_state.py
800,long class,218,200,26,20,../input_projects/py_projects/django/tests/migrations/test_state.py
22,long class,317,200,10,20,../input_projects/py_projects/django/tests/migrations/test_commands.py
342,long class,472,200,28,20,../input_projects/py_projects/django/tests/migrations/test_commands.py
24,long class,1816,200,93,20,../input_projects/py_projects/django/tests/migrations/test_autodetector.py
12,long class,400,200,11,20,../input_projects/py_projects/django/tests/migrations/test_executor.py
10,long class,257,200,11,20,../input_projects/py_projects/django/tests/migrations/test_graph.py
35,long class,279,200,31,20,../input_projects/py_projects/django/tests/sessions_tests/tests.py
19,long class,372,200,25,20,../input_projects/py_projects/django/tests/foreign_object/tests.py
19,long class,234,200,8,20,../input_projects/py_projects/django/tests/model_formsets_regress/tests.py
165,long class,322,200,23,20,../input_projects/py_projects/django/tests/middleware_exceptions/tests.py
490,long class,334,200,23,20,../input_projects/py_projects/django/tests/middleware_exceptions/tests.py
214,long class,758,200,29,20,../input_projects/py_projects/django/tests/admin_filters/tests.py
11,long class,250,200,24,20,../input_projects/py_projects/django/tests/raw_query/tests.py
19,long class,202,200,13,20,../input_projects/py_projects/django/tests/model_regress/tests.py
32,long class,190,200,21,20,../input_projects/py_projects/django/tests/template_tests/test_response.py
25,long class,380,200,15,20,../input_projects/py_projects/django/tests/template_tests/test_custom.py
58,long class,337,200,42,20,../input_projects/py_projects/django/tests/template_tests/syntax_tests/test_extends.py
