Line,Smell,Threshold,File
197,long message chain,4,../input_projects/py_projects/django/tests/expressions_case/tests.py
212,long message chain,4,../input_projects/py_projects/django/tests/expressions_case/tests.py
228,long message chain,4,../input_projects/py_projects/django/tests/expressions_case/tests.py
464,long message chain,4,../input_projects/py_projects/django/tests/expressions_case/tests.py
479,long message chain,4,../input_projects/py_projects/django/tests/expressions_case/tests.py
494,long message chain,4,../input_projects/py_projects/django/tests/expressions_case/tests.py
1090,long message chain,4,../input_projects/py_projects/django/tests/expressions_case/tests.py
109,long message chain,4,../input_projects/py_projects/django/tests/aggregation/tests.py
428,long message chain,4,../input_projects/py_projects/django/tests/aggregation/tests.py
528,long message chain,4,../input_projects/py_projects/django/tests/aggregation/tests.py
668,long message chain,4,../input_projects/py_projects/django/tests/aggregation/tests.py
615,long message chain,4,../input_projects/py_projects/django/tests/migrations/test_operations.py
641,long message chain,4,../input_projects/py_projects/django/tests/migrations/test_operations.py
521,long message chain,4,../input_projects/py_projects/django/tests/migrations/test_state.py
522,long message chain,4,../input_projects/py_projects/django/tests/migrations/test_state.py
529,long message chain,4,../input_projects/py_projects/django/tests/migrations/test_state.py
530,long message chain,4,../input_projects/py_projects/django/tests/migrations/test_state.py
47,long message chain,4,../input_projects/py_projects/django/tests/select_related/tests.py
57,long message chain,4,../input_projects/py_projects/django/tests/select_related/tests.py
141,long message chain,4,../input_projects/py_projects/django/tests/select_related/tests.py
70,long message chain,4,../input_projects/py_projects/django/tests/select_related_regress/tests.py
1088,long message chain,4,../input_projects/py_projects/django/tests/backends/tests.py
232,long message chain,4,../input_projects/py_projects/django/tests/queries/tests.py
236,long message chain,4,../input_projects/py_projects/django/tests/queries/tests.py
323,long message chain,4,../input_projects/py_projects/django/tests/queries/tests.py
28,long message chain,4,../input_projects/py_projects/django/tests/createsuperuser/tests.py
463,long message chain,4,../input_projects/py_projects/django/tests/admin_views/tests.py
466,long message chain,4,../input_projects/py_projects/django/tests/admin_views/tests.py
952,long message chain,4,../input_projects/py_projects/django/tests/schema/tests.py
187,long message chain,4,../input_projects/py_projects/django/tests/multiple_database/tests.py
188,long message chain,4,../input_projects/py_projects/django/tests/multiple_database/tests.py
348,long message chain,4,../input_projects/py_projects/django/tests/multiple_database/tests.py
352,long message chain,4,../input_projects/py_projects/django/tests/multiple_database/tests.py
359,long message chain,4,../input_projects/py_projects/django/tests/multiple_database/tests.py
366,long message chain,4,../input_projects/py_projects/django/tests/multiple_database/tests.py
376,long message chain,4,../input_projects/py_projects/django/tests/multiple_database/tests.py
380,long message chain,4,../input_projects/py_projects/django/tests/multiple_database/tests.py
387,long message chain,4,../input_projects/py_projects/django/tests/multiple_database/tests.py
394,long message chain,4,../input_projects/py_projects/django/tests/multiple_database/tests.py
1216,long message chain,4,../input_projects/py_projects/django/tests/multiple_database/tests.py
1217,long message chain,4,../input_projects/py_projects/django/tests/multiple_database/tests.py
1220,long message chain,4,../input_projects/py_projects/django/tests/multiple_database/tests.py
1235,long message chain,4,../input_projects/py_projects/django/tests/multiple_database/tests.py
1236,long message chain,4,../input_projects/py_projects/django/tests/multiple_database/tests.py
1239,long message chain,4,../input_projects/py_projects/django/tests/multiple_database/tests.py
