Line,Smell,Number of Lines,Threshold,File
1975,long method,133,100,../input_projects/py_projects/django/tests/model_forms/tests.py
363,long method,107,100,../input_projects/py_projects/django/tests/aggregation/tests.py
50,long method,103,100,../input_projects/py_projects/django/tests/migrations/test_operations.py
22,long method,143,100,../input_projects/py_projects/django/tests/migrations/test_state.py
631,long method,112,100,../input_projects/py_projects/django/tests/forms_tests/tests/test_forms.py
825,long method,119,100,../input_projects/py_projects/django/tests/forms_tests/tests/test_forms.py
1504,long method,107,100,../input_projects/py_projects/django/tests/forms_tests/tests/test_forms.py
1729,long method,121,100,../input_projects/py_projects/django/tests/forms_tests/tests/test_forms.py
39,long method,283,100,../input_projects/py_projects/django/tests/forms_tests/tests/test_extra.py
224,long method,148,100,../input_projects/py_projects/django/tests/forms_tests/tests/test_widgets.py
402,long method,144,100,../input_projects/py_projects/django/tests/forms_tests/tests/test_widgets.py
774,long method,134,100,../input_projects/py_projects/django/tests/forms_tests/tests/test_widgets.py
127,long method,127,100,../input_projects/py_projects/django/tests/lookup/tests.py
485,long method,109,100,../input_projects/py_projects/django/tests/lookup/tests.py
1072,long method,107,100,../input_projects/py_projects/django/tests/invalid_models_tests/test_relative_fields.py
1046,long method,128,100,../input_projects/py_projects/django/tests/multiple_database/tests.py
1176,long method,114,100,../input_projects/py_projects/django/tests/multiple_database/tests.py
148,long method,118,100,../input_projects/py_projects/django/tests/many_to_one/tests.py
179,long method,104,100,../input_projects/py_projects/django/tests/extra_regress/tests.py
526,long method,101,100,../input_projects/py_projects/django/tests/prefetch_related/tests.py
148,long method,142,100,../input_projects/py_projects/django/tests/model_formsets/tests.py
860,long method,125,100,../input_projects/py_projects/django/tests/model_formsets/tests.py
1264,long method,127,100,../input_projects/py_projects/django/tests/model_formsets/tests.py
84,long method,114,100,../input_projects/py_projects/django/tests/fixtures/tests.py
223,long method,122,100,../input_projects/py_projects/django/tests/i18n/tests.py
593,long method,160,100,../input_projects/py_projects/django/tests/i18n/tests.py
124,long method,121,100,../input_projects/py_projects/django/tests/aggregation_regress/tests.py
554,long method,134,100,../input_projects/py_projects/django/tests/aggregation_regress/tests.py
24,long method,109,100,../input_projects/py_projects/django/tests/model_inheritance_regress/tests.py
101,long method,115,100,../input_projects/py_projects/django/tests/runtests.py
57,long method,273,100,../input_projects/py_projects/django/tests/m2m_signals/tests.py
390,long method,102,100,../input_projects/py_projects/django/django/templatetags/i18n.py
63,long method,113,100,../input_projects/py_projects/django/django/core/management/templates.py
30,long method,115,100,../input_projects/py_projects/django/django/core/management/commands/inspectdb.py
26,long method,127,100,../input_projects/py_projects/django/django/core/management/commands/squashmigrations.py
38,long method,105,100,../input_projects/py_projects/django/django/core/management/commands/makemigrations.py
46,long method,123,100,../input_projects/py_projects/django/django/core/management/commands/dumpdata.py
55,long method,170,100,../input_projects/py_projects/django/django/core/management/commands/migrate.py
261,long method,106,100,../input_projects/py_projects/django/django/core/management/commands/migrate.py
94,long method,143,100,../input_projects/py_projects/django/django/core/handlers/base.py
45,long method,128,100,../input_projects/py_projects/django/django/utils/lru_cache.py
70,long method,101,100,../input_projects/py_projects/django/django/utils/lru_cache.py
549,long method,183,100,../input_projects/py_projects/django/django/utils/translation/trans_real.py
73,long method,121,100,../input_projects/py_projects/django/django/utils/functional.py
50,long method,153,100,../input_projects/py_projects/django/django/utils/regex_helper.py
287,long method,144,100,../input_projects/py_projects/django/django/utils/dictconfig.py
115,long method,103,100,../input_projects/py_projects/django/django/contrib/syndication/views.py
1522,long method,156,100,../input_projects/py_projects/django/django/contrib/admin/options.py
440,long method,134,100,../input_projects/py_projects/django/django/contrib/contenttypes/fields.py
126,long method,115,100,../input_projects/py_projects/django/django/contrib/gis/utils/ogrinspect.py
476,long method,151,100,../input_projects/py_projects/django/django/contrib/gis/utils/layermapping.py
574,long method,151,100,../input_projects/py_projects/django/django/contrib/gis/db/models/query.py
184,long method,105,100,../input_projects/py_projects/django/django/contrib/admindocs/views.py
107,long method,155,100,../input_projects/py_projects/django/django/http/multipartparser.py
86,long method,227,100,../input_projects/py_projects/django/django/db/migrations/autodetector.py
439,long method,143,100,../input_projects/py_projects/django/django/db/migrations/autodetector.py
167,long method,136,100,../input_projects/py_projects/django/django/db/migrations/loader.py
285,long method,181,100,../input_projects/py_projects/django/django/db/migrations/writer.py
334,long method,135,100,../input_projects/py_projects/django/django/db/migrations/state.py
149,long method,138,100,../input_projects/py_projects/django/django/db/backends/oracle/introspection.py
48,long method,111,100,../input_projects/py_projects/django/django/db/backends/sqlite3/schema.py
486,long method,264,100,../input_projects/py_projects/django/django/db/backends/base/schema.py
1429,long method,121,100,../input_projects/py_projects/django/django/db/models/query.py
176,long method,102,100,../input_projects/py_projects/django/django/db/models/fields/related.py
680,long method,120,100,../input_projects/py_projects/django/django/db/models/fields/related.py
843,long method,299,100,../input_projects/py_projects/django/django/db/models/fields/related.py
2190,long method,194,100,../input_projects/py_projects/django/django/db/models/fields/related.py
72,long method,238,100,../input_projects/py_projects/django/django/db/models/base.py
362,long method,104,100,../input_projects/py_projects/django/django/db/models/sql/compiler.py
629,long method,128,100,../input_projects/py_projects/django/django/db/models/sql/compiler.py
481,long method,109,100,../input_projects/py_projects/django/django/db/models/sql/query.py
1114,long method,124,100,../input_projects/py_projects/django/django/db/models/sql/query.py
