Line,Smell,Number of Parameters,Threshold,File
962,long parameters,6,5,../input_projects/py_projects/django/tests/aggregation/tests.py
157,long parameters,8,5,../input_projects/py_projects/django/tests/test_runner/tests.py
32,long parameters,6,5,../input_projects/py_projects/django/tests/pagination/tests.py
422,long parameters,7,5,../input_projects/py_projects/django/tests/auth_tests/test_forms.py
50,long parameters,12,5,../input_projects/py_projects/django/tests/migrations/test_operations.py
805,long parameters,6,5,../input_projects/py_projects/django/tests/migrations/test_state.py
354,long parameters,6,5,../input_projects/py_projects/django/tests/migrations/test_autodetector.py
380,long parameters,6,5,../input_projects/py_projects/django/tests/migrations/test_autodetector.py
157,long parameters,7,5,../input_projects/py_projects/django/tests/middleware_exceptions/tests.py
14,long parameters,7,5,../input_projects/py_projects/django/tests/raw_query/tests.py
62,long parameters,8,5,../input_projects/py_projects/django/tests/forms_tests/tests/test_formsets.py
45,long parameters,6,5,../input_projects/py_projects/django/tests/admin_scripts/tests.py
83,long parameters,6,5,../input_projects/py_projects/django/tests/staticfiles_tests/tests.py
544,long parameters,7,5,../input_projects/py_projects/django/tests/modeladmin/tests.py
558,long parameters,7,5,../input_projects/py_projects/django/tests/modeladmin/tests.py
46,long parameters,10,5,../input_projects/py_projects/django/tests/fixtures/tests.py
840,long parameters,7,5,../input_projects/py_projects/django/tests/admin_widgets/tests.py
234,long parameters,7,5,../input_projects/py_projects/django/tests/runtests.py
12,long parameters,7,5,../input_projects/py_projects/django/docs/_ext/ticket_role.py
13,long parameters,6,5,../input_projects/py_projects/django/django/templatetags/cache.py
101,long parameters,8,5,../input_projects/py_projects/django/django/templatetags/i18n.py
70,long parameters,7,5,../input_projects/py_projects/django/django/forms/models.py
157,long parameters,9,5,../input_projects/py_projects/django/django/forms/models.py
308,long parameters,10,5,../input_projects/py_projects/django/django/forms/models.py
472,long parameters,10,5,../input_projects/py_projects/django/django/forms/models.py
556,long parameters,7,5,../input_projects/py_projects/django/django/forms/models.py
816,long parameters,18,5,../input_projects/py_projects/django/django/forms/models.py
850,long parameters,8,5,../input_projects/py_projects/django/django/forms/models.py
1002,long parameters,20,5,../input_projects/py_projects/django/django/forms/models.py
1122,long parameters,13,5,../input_projects/py_projects/django/django/forms/models.py
1238,long parameters,10,5,../input_projects/py_projects/django/django/forms/models.py
71,long parameters,11,5,../input_projects/py_projects/django/django/forms/fields.py
332,long parameters,7,5,../input_projects/py_projects/django/django/forms/fields.py
545,long parameters,7,5,../input_projects/py_projects/django/django/forms/fields.py
828,long parameters,9,5,../input_projects/py_projects/django/django/forms/fields.py
1140,long parameters,13,5,../input_projects/py_projects/django/django/forms/fields.py
160,long parameters,6,5,../input_projects/py_projects/django/django/forms/widgets.py
606,long parameters,6,5,../input_projects/py_projects/django/django/forms/widgets.py
56,long parameters,7,5,../input_projects/py_projects/django/django/forms/formsets.py
415,long parameters,9,5,../input_projects/py_projects/django/django/forms/formsets.py
118,long parameters,9,5,../input_projects/py_projects/django/django/forms/forms.py
201,long parameters,6,5,../input_projects/py_projects/django/django/forms/forms.py
138,long parameters,7,5,../input_projects/py_projects/django/django/forms/extras/widgets.py
16,long parameters,12,5,../input_projects/py_projects/django/django/core/mail/backends/smtp.py
41,long parameters,9,5,../input_projects/py_projects/django/django/core/mail/__init__.py
199,long parameters,6,5,../input_projects/py_projects/django/django/core/mail/message.py
216,long parameters,11,5,../input_projects/py_projects/django/django/core/mail/message.py
405,long parameters,12,5,../input_projects/py_projects/django/django/core/mail/message.py
17,long parameters,6,5,../input_projects/py_projects/django/django/core/checks/messages.py
25,long parameters,6,5,../input_projects/py_projects/django/django/core/validators.py
322,long parameters,8,5,../input_projects/py_projects/django/django/core/serializers/xml_serializer.py
326,long parameters,6,5,../input_projects/py_projects/django/django/core/serializers/xml_serializer.py
363,long parameters,7,5,../input_projects/py_projects/django/django/core/serializers/xml_serializer.py
39,long parameters,7,5,../input_projects/py_projects/django/django/core/urlresolvers.py
252,long parameters,6,5,../input_projects/py_projects/django/django/core/urlresolvers.py
525,long parameters,6,5,../input_projects/py_projects/django/django/core/urlresolvers.py
79,long parameters,6,5,../input_projects/py_projects/django/django/core/files/uploadhandler.py
97,long parameters,7,5,../input_projects/py_projects/django/django/core/files/uploadhandler.py
163,long parameters,6,5,../input_projects/py_projects/django/django/core/files/uploadhandler.py
28,long parameters,7,5,../input_projects/py_projects/django/django/core/files/uploadedfile.py
63,long parameters,6,5,../input_projects/py_projects/django/django/core/files/uploadedfile.py
92,long parameters,8,5,../input_projects/py_projects/django/django/core/files/uploadedfile.py
38,long parameters,6,5,../input_projects/py_projects/django/django/core/files/temp.py
65,long parameters,10,5,../input_projects/py_projects/django/django/test/runner.py
140,long parameters,6,5,../input_projects/py_projects/django/django/test/client.py
305,long parameters,6,5,../input_projects/py_projects/django/django/test/client.py
329,long parameters,6,5,../input_projects/py_projects/django/django/test/client.py
335,long parameters,6,5,../input_projects/py_projects/django/django/test/client.py
341,long parameters,6,5,../input_projects/py_projects/django/django/test/client.py
347,long parameters,6,5,../input_projects/py_projects/django/django/test/client.py
353,long parameters,7,5,../input_projects/py_projects/django/django/test/client.py
495,long parameters,6,5,../input_projects/py_projects/django/django/test/client.py
505,long parameters,7,5,../input_projects/py_projects/django/django/test/client.py
517,long parameters,6,5,../input_projects/py_projects/django/django/test/client.py
527,long parameters,7,5,../input_projects/py_projects/django/django/test/client.py
539,long parameters,7,5,../input_projects/py_projects/django/django/test/client.py
551,long parameters,7,5,../input_projects/py_projects/django/django/test/client.py
563,long parameters,7,5,../input_projects/py_projects/django/django/test/client.py
575,long parameters,6,5,../input_projects/py_projects/django/django/test/client.py
104,long parameters,6,5,../input_projects/py_projects/django/django/test/testcases.py
243,long parameters,8,5,../input_projects/py_projects/django/django/test/testcases.py
308,long parameters,6,5,../input_projects/py_projects/django/django/test/testcases.py
340,long parameters,7,5,../input_projects/py_projects/django/django/test/testcases.py
360,long parameters,6,5,../input_projects/py_projects/django/django/test/testcases.py
373,long parameters,6,5,../input_projects/py_projects/django/django/test/testcases.py
424,long parameters,7,5,../input_projects/py_projects/django/django/test/testcases.py
568,long parameters,6,5,../input_projects/py_projects/django/django/test/testcases.py
584,long parameters,7,5,../input_projects/py_projects/django/django/test/testcases.py
878,long parameters,6,5,../input_projects/py_projects/django/django/test/testcases.py
27,long parameters,8,5,../input_projects/py_projects/django/django/shortcuts.py
50,long parameters,10,5,../input_projects/py_projects/django/django/shortcuts.py
18,long parameters,7,5,../input_projects/py_projects/django/django/template/response.py
193,long parameters,9,5,../input_projects/py_projects/django/django/template/response.py
19,long parameters,9,5,../input_projects/py_projects/django/django/template/engine.py
179,long parameters,6,5,../input_projects/py_projects/django/django/template/engine.py
125,long parameters,6,5,../input_projects/py_projects/django/django/template/context.py
206,long parameters,7,5,../input_projects/py_projects/django/django/template/context.py
81,long parameters,7,5,../input_projects/py_projects/django/django/template/loader.py
1019,long parameters,8,5,../input_projects/py_projects/django/django/template/base.py
1087,long parameters,9,5,../input_projects/py_projects/django/django/template/base.py
127,long parameters,6,5,../input_projects/py_projects/django/django/template/defaulttags.py
284,long parameters,6,5,../input_projects/py_projects/django/django/template/defaulttags.py
26,long parameters,9,5,../input_projects/py_projects/django/django/utils/lru_cache.py
8,long parameters,6,5,../input_projects/py_projects/django/django/utils/numberformat.py
161,long parameters,6,5,../input_projects/py_projects/django/django/utils/text.py
139,long parameters,6,5,../input_projects/py_projects/django/django/utils/six.py
88,long parameters,15,5,../input_projects/py_projects/django/django/utils/feedgenerator.py
115,long parameters,17,5,../input_projects/py_projects/django/django/utils/feedgenerator.py
93,long parameters,6,5,../input_projects/py_projects/django/django/contrib/messages/storage/cookie.py
168,long parameters,7,5,../input_projects/py_projects/django/django/contrib/auth/models.py
198,long parameters,7,5,../input_projects/py_projects/django/django/contrib/auth/forms.py
227,long parameters,9,5,../input_projects/py_projects/django/django/contrib/auth/forms.py
32,long parameters,6,5,../input_projects/py_projects/django/django/contrib/auth/views.py
74,long parameters,6,5,../input_projects/py_projects/django/django/contrib/auth/views.py
147,long parameters,12,5,../input_projects/py_projects/django/django/contrib/auth/views.py
217,long parameters,9,5,../input_projects/py_projects/django/django/contrib/auth/views.py
287,long parameters,6,5,../input_projects/py_projects/django/django/contrib/auth/views.py
796,long parameters,6,5,../input_projects/py_projects/django/django/contrib/admin/options.py
1042,long parameters,6,5,../input_projects/py_projects/django/django/contrib/admin/options.py
1104,long parameters,7,5,../input_projects/py_projects/django/django/contrib/admin/options.py
19,long parameters,7,5,../input_projects/py_projects/django/django/contrib/admin/models.py
241,long parameters,7,5,../input_projects/py_projects/django/django/contrib/admin/widgets.py
41,long parameters,13,5,../input_projects/py_projects/django/django/contrib/admin/views/main.py
36,long parameters,6,5,../input_projects/py_projects/django/django/contrib/admin/helpers.py
65,long parameters,8,5,../input_projects/py_projects/django/django/contrib/admin/helpers.py
217,long parameters,7,5,../input_projects/py_projects/django/django/contrib/admin/helpers.py
273,long parameters,9,5,../input_projects/py_projects/django/django/contrib/admin/helpers.py
123,long parameters,7,5,../input_projects/py_projects/django/django/contrib/admin/filters.py
156,long parameters,7,5,../input_projects/py_projects/django/django/contrib/admin/filters.py
165,long parameters,7,5,../input_projects/py_projects/django/django/contrib/admin/filters.py
232,long parameters,7,5,../input_projects/py_projects/django/django/contrib/admin/filters.py
269,long parameters,7,5,../input_projects/py_projects/django/django/contrib/admin/filters.py
296,long parameters,7,5,../input_projects/py_projects/django/django/contrib/admin/filters.py
362,long parameters,7,5,../input_projects/py_projects/django/django/contrib/admin/filters.py
18,long parameters,7,5,../input_projects/py_projects/django/django/contrib/postgres/forms/array.py
146,long parameters,6,5,../input_projects/py_projects/django/django/contrib/contenttypes/fields.py
447,long parameters,10,5,../input_projects/py_projects/django/django/contrib/contenttypes/fields.py
578,long parameters,6,5,../input_projects/py_projects/django/django/contrib/contenttypes/fields.py
14,long parameters,8,5,../input_projects/py_projects/django/django/contrib/contenttypes/forms.py
54,long parameters,16,5,../input_projects/py_projects/django/django/contrib/contenttypes/forms.py
30,long parameters,14,5,../input_projects/py_projects/django/django/contrib/gis/maps/google/gmap.py
88,long parameters,7,5,../input_projects/py_projects/django/django/contrib/gis/maps/google/overlays.py
243,long parameters,8,5,../input_projects/py_projects/django/django/contrib/gis/maps/google/overlays.py
126,long parameters,11,5,../input_projects/py_projects/django/django/contrib/gis/utils/ogrinspect.py
79,long parameters,11,5,../input_projects/py_projects/django/django/contrib/gis/utils/layermapping.py
476,long parameters,8,5,../input_projects/py_projects/django/django/contrib/gis/utils/layermapping.py
11,long parameters,6,5,../input_projects/py_projects/django/django/contrib/gis/sitemaps/views.py
80,long parameters,7,5,../input_projects/py_projects/django/django/contrib/gis/db/models/fields.py
574,long parameters,6,5,../input_projects/py_projects/django/django/contrib/gis/db/models/query.py
26,long parameters,6,5,../input_projects/py_projects/django/django/contrib/gis/db/models/aggregates.py
103,long parameters,7,5,../input_projects/py_projects/django/django/contrib/admindocs/utils.py
121,long parameters,7,5,../input_projects/py_projects/django/django/contrib/admindocs/utils.py
467,long parameters,6,5,../input_projects/py_projects/django/django/http/request.py
222,long parameters,9,5,../input_projects/py_projects/django/django/http/response.py
18,long parameters,6,5,../input_projects/py_projects/django/django/db/migrations/operations/models.py
312,long parameters,7,5,../input_projects/py_projects/django/django/db/migrations/state.py
215,long parameters,6,5,../input_projects/py_projects/django/django/db/backends/oracle/creation.py
48,long parameters,7,5,../input_projects/py_projects/django/django/db/backends/sqlite3/schema.py
199,long parameters,9,5,../input_projects/py_projects/django/django/db/backends/sqlite3/schema.py
486,long parameters,9,5,../input_projects/py_projects/django/django/db/backends/base/schema.py
900,long parameters,8,5,../input_projects/py_projects/django/django/db/backends/base/schema.py
742,long parameters,6,5,../input_projects/py_projects/django/django/db/models/options.py
826,long parameters,7,5,../input_projects/py_projects/django/django/db/models/query.py
910,long parameters,6,5,../input_projects/py_projects/django/django/db/models/query.py
1256,long parameters,8,5,../input_projects/py_projects/django/django/db/models/query.py
183,long parameters,6,5,../input_projects/py_projects/django/django/db/models/expressions.py
396,long parameters,6,5,../input_projects/py_projects/django/django/db/models/expressions.py
447,long parameters,6,5,../input_projects/py_projects/django/django/db/models/expressions.py
487,long parameters,6,5,../input_projects/py_projects/django/django/db/models/expressions.py
552,long parameters,6,5,../input_projects/py_projects/django/django/db/models/expressions.py
644,long parameters,6,5,../input_projects/py_projects/django/django/db/models/expressions.py
710,long parameters,6,5,../input_projects/py_projects/django/django/db/models/expressions.py
775,long parameters,6,5,../input_projects/py_projects/django/django/db/models/expressions.py
829,long parameters,6,5,../input_projects/py_projects/django/django/db/models/expressions.py
882,long parameters,6,5,../input_projects/py_projects/django/django/db/models/expressions.py
17,long parameters,6,5,../input_projects/py_projects/django/django/db/models/aggregates.py
176,long parameters,7,5,../input_projects/py_projects/django/django/db/models/deletion.py
241,long parameters,6,5,../input_projects/py_projects/django/django/db/models/fields/files.py
391,long parameters,6,5,../input_projects/py_projects/django/django/db/models/fields/files.py
847,long parameters,10,5,../input_projects/py_projects/django/django/db/models/fields/related.py
1273,long parameters,8,5,../input_projects/py_projects/django/django/db/models/fields/related.py
1403,long parameters,9,5,../input_projects/py_projects/django/django/db/models/fields/related.py
1426,long parameters,9,5,../input_projects/py_projects/django/django/db/models/fields/related.py
1435,long parameters,10,5,../input_projects/py_projects/django/django/db/models/fields/related.py
1482,long parameters,6,5,../input_projects/py_projects/django/django/db/models/fields/related.py
1703,long parameters,7,5,../input_projects/py_projects/django/django/db/models/fields/related.py
1795,long parameters,6,5,../input_projects/py_projects/django/django/db/models/fields/related.py
137,long parameters,23,5,../input_projects/py_projects/django/django/db/models/fields/__init__.py
1195,long parameters,6,5,../input_projects/py_projects/django/django/db/models/fields/__init__.py
1502,long parameters,6,5,../input_projects/py_projects/django/django/db/models/fields/__init__.py
1731,long parameters,9,5,../input_projects/py_projects/django/django/db/models/fields/__init__.py
1953,long parameters,7,5,../input_projects/py_projects/django/django/db/models/fields/__init__.py
2182,long parameters,6,5,../input_projects/py_projects/django/django/db/models/fields/__init__.py
87,long parameters,6,5,../input_projects/py_projects/django/django/db/models/query_utils.py
713,long parameters,6,5,../input_projects/py_projects/django/django/db/models/base.py
775,long parameters,7,5,../input_projects/py_projects/django/django/db/models/base.py
827,long parameters,7,5,../input_projects/py_projects/django/django/db/models/base.py
855,long parameters,6,5,../input_projects/py_projects/django/django/db/models/base.py
548,long parameters,6,5,../input_projects/py_projects/django/django/db/models/sql/compiler.py
