Line,Smell,Cause,Number of Conditions,Threshold,File
53,complex conditional,long if,5,3,../input_projects/py_projects/flask/examples/tutorial/flaskr/auth.py
87,complex conditional,long if,5,3,../input_projects/py_projects/flask/examples/tutorial/flaskr/auth.py
64,complex conditional,long if,4,3,../input_projects/py_projects/flask/examples/tutorial/flaskr/blog.py
92,complex conditional,long if,4,3,../input_projects/py_projects/flask/examples/tutorial/flaskr/blog.py
306,complex conditional,long if,4,3,../input_projects/py_projects/flask/src/flask/sansio/blueprints.py
339,complex conditional,long if,4,3,../input_projects/py_projects/flask/src/flask/sansio/blueprints.py
357,complex conditional,long if,4,3,../input_projects/py_projects/flask/src/flask/sansio/blueprints.py
367,complex conditional,long if,4,3,../input_projects/py_projects/flask/src/flask/sansio/blueprints.py
739,complex conditional,long if,5,3,../input_projects/py_projects/flask/src/flask/sansio/scaffold.py
790,complex conditional,long if,4,3,../input_projects/py_projects/flask/src/flask/sansio/scaffold.py
70,complex conditional,long if,4,3,../input_projects/py_projects/flask/src/flask/cli.py
135,complex conditional,long if,5,3,../input_projects/py_projects/flask/src/flask/cli.py
329,complex conditional,long if,4,3,../input_projects/py_projects/flask/src/flask/cli.py
826,complex conditional,long if,6,3,../input_projects/py_projects/flask/src/flask/cli.py
1015,complex conditional,long if,8,3,../input_projects/py_projects/flask/src/flask/app.py
1142,complex conditional,long if,5,3,../input_projects/py_projects/flask/src/flask/app.py
1171,complex conditional,long if,5,3,../input_projects/py_projects/flask/src/flask/app.py
112,complex conditional,long if,4,3,../input_projects/py_projects/flask/src/flask/debughelpers.py
407,complex conditional,long if,4,3,../input_projects/py_projects/flask/src/flask/ctx.py
64,complex conditional,long if,6,3,../input_projects/py_projects/flask/src/flask/testing.py
211,complex conditional,long if,4,3,../input_projects/py_projects/flask/src/flask/testing.py
168,complex conditional,long if,5,3,../input_projects/py_projects/flask/src/flask/views.py
