Line,Smell,Cause,Number of Conditions,Threshold,File
31,complex conditional,long if,4,3,../input_projects/py_projects/nltk/tools/nltk_term_index.py
41,complex conditional,long if,5,3,../input_projects/py_projects/nltk/tools/global_replace.py
109,complex conditional,long if,5,3,../input_projects/py_projects/nltk/tools/find_deprecated.py
135,complex conditional,long if,4,3,../input_projects/py_projects/nltk/tools/find_deprecated.py
32,complex conditional,long if,9,3,../input_projects/py_projects/nltk/nltk/misc/wordfinder.py
92,complex conditional,long if,5,3,../input_projects/py_projects/nltk/nltk/misc/wordfinder.py
137,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/metrics/agreement.py
163,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/metrics/agreement.py
343,complex conditional,long if,6,3,../input_projects/py_projects/nltk/nltk/metrics/agreement.py
128,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/metrics/distance.py
173,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/metrics/segmentation.py
150,complex conditional,long if,5,3,../input_projects/py_projects/nltk/nltk/tree.py
164,complex conditional,long if,5,3,../input_projects/py_projects/nltk/nltk/tree.py
179,complex conditional,long if,5,3,../input_projects/py_projects/nltk/nltk/tree.py
612,complex conditional,long if,9,3,../input_projects/py_projects/nltk/nltk/tree.py
776,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/tree.py
813,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/tree.py
910,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/tree.py
969,complex conditional,long if,10,3,../input_projects/py_projects/nltk/nltk/tree.py
1005,complex conditional,long if,15,3,../input_projects/py_projects/nltk/nltk/tree.py
1505,complex conditional,long if,5,3,../input_projects/py_projects/nltk/nltk/tree.py
259,complex conditional,long if,5,3,../input_projects/py_projects/nltk/nltk/cluster/util.py
88,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/cluster/kmeans.py
108,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/cluster/kmeans.py
457,complex conditional,long if,8,3,../input_projects/py_projects/nltk/nltk/internals.py
491,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/internals.py
508,complex conditional,long if,5,3,../input_projects/py_projects/nltk/nltk/internals.py
583,complex conditional,long if,10,3,../input_projects/py_projects/nltk/nltk/internals.py
611,complex conditional,long if,7,3,../input_projects/py_projects/nltk/nltk/internals.py
628,complex conditional,long if,5,3,../input_projects/py_projects/nltk/nltk/internals.py
827,complex conditional,long if,5,3,../input_projects/py_projects/nltk/nltk/internals.py
875,complex conditional,long if,5,3,../input_projects/py_projects/nltk/nltk/internals.py
19,complex conditional,long if,22,3,../input_projects/py_projects/nltk/nltk/compat.py
376,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/compat.py
300,complex conditional,long if,5,3,../input_projects/py_projects/nltk/nltk/app/concordance_app.py
364,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/app/concordance_app.py
277,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/app/chunkparser_app.py
938,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/app/chunkparser_app.py
520,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/app/rdparser_app.py
754,complex conditional,long if,5,3,../input_projects/py_projects/nltk/nltk/app/rdparser_app.py
468,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/app/srparser_app.py
678,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/app/srparser_app.py
361,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/app/chartparser_app.py
683,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/app/chartparser_app.py
1260,complex conditional,long if,6,3,../input_projects/py_projects/nltk/nltk/app/chartparser_app.py
1397,complex conditional,long if,6,3,../input_projects/py_projects/nltk/nltk/app/chartparser_app.py
2052,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/app/chartparser_app.py
2141,complex conditional,long if,8,3,../input_projects/py_projects/nltk/nltk/app/chartparser_app.py
2173,complex conditional,long if,5,3,../input_projects/py_projects/nltk/nltk/app/chartparser_app.py
98,complex conditional,long if,12,3,../input_projects/py_projects/nltk/nltk/app/wordnet_app.py
367,complex conditional,long if,5,3,../input_projects/py_projects/nltk/nltk/app/wordnet_app.py
593,complex conditional,long if,4,3,../input_projects/py_projects/nltk/nltk/app/wordnet_app.py
775,complex conditional,long if,8,3,../input_projects/py_projects/nltk/nltk/app/wordnet_app.py
