Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
86,long class,254,200,24,20,../input_projects/py_projects/nltk/nltk/metrics/agreement.py
33,long class,793,200,41,20,../input_projects/py_projects/nltk/nltk/tree.py
881,long class,227,200,13,20,../input_projects/py_projects/nltk/nltk/tree.py
91,long class,353,200,36,20,../input_projects/py_projects/nltk/nltk/app/concordance_app.py
36,long class,1218,200,35,20,../input_projects/py_projects/nltk/nltk/app/chunkparser_app.py
78,long class,785,200,48,20,../input_projects/py_projects/nltk/nltk/app/rdparser_app.py
87,long class,679,200,36,20,../input_projects/py_projects/nltk/nltk/app/srparser_app.py
97,long class,220,200,24,20,../input_projects/py_projects/nltk/nltk/app/chartparser_app.py
462,long class,372,200,25,20,../input_projects/py_projects/nltk/nltk/app/chartparser_app.py
847,long class,739,200,38,20,../input_projects/py_projects/nltk/nltk/app/chartparser_app.py
1625,long class,605,200,46,20,../input_projects/py_projects/nltk/nltk/app/chartparser_app.py
69,long class,202,200,25,20,../input_projects/py_projects/nltk/nltk/app/collocations_app.py
82,long class,224,200,10,20,../input_projects/py_projects/nltk/nltk/classify/maxent.py
747,long class,225,200,6,20,../input_projects/py_projects/nltk/nltk/classify/maxent.py
22,long class,255,200,14,20,../input_projects/py_projects/nltk/nltk/classify/decisiontree.py
51,long class,242,200,14,20,../input_projects/py_projects/nltk/nltk/chunk/util.py
22,long class,220,200,7,20,../input_projects/py_projects/nltk/nltk/chunk/regexp.py
365,long class,609,200,29,20,../input_projects/py_projects/nltk/nltk/downloader.py
1125,long class,827,200,40,20,../input_projects/py_projects/nltk/nltk/downloader.py
276,long class,203,200,13,20,../input_projects/py_projects/nltk/nltk/sem/drt.py
921,long class,268,200,15,20,../input_projects/py_projects/nltk/nltk/sem/drt.py
66,long class,219,200,13,20,../input_projects/py_projects/nltk/nltk/sem/hole.py
48,long class,214,200,12,20,../input_projects/py_projects/nltk/nltk/sem/boxer.py
265,long class,350,200,31,20,../input_projects/py_projects/nltk/nltk/sem/boxer.py
87,long class,438,200,33,20,../input_projects/py_projects/nltk/nltk/sem/logic.py
868,long class,252,200,30,20,../input_projects/py_projects/nltk/nltk/sem/logic.py
118,long class,311,200,15,20,../input_projects/py_projects/nltk/nltk/sem/glue.py
31,long class,416,200,26,20,../input_projects/py_projects/nltk/nltk/sem/drt_glue_demo.py
353,long class,209,200,7,20,../input_projects/py_projects/nltk/nltk/sem/evaluate.py
27,long class,343,200,29,20,../input_projects/py_projects/nltk/nltk/corpus/reader/conll.py
34,long class,313,200,11,20,../input_projects/py_projects/nltk/nltk/corpus/reader/util.py
136,long class,281,200,20,20,../input_projects/py_projects/nltk/nltk/corpus/reader/timit.py
28,long class,399,200,17,20,../input_projects/py_projects/nltk/nltk/corpus/reader/childes.py
23,long class,371,200,19,20,../input_projects/py_projects/nltk/nltk/corpus/reader/verbnet.py
451,long class,1524,200,49,20,../input_projects/py_projects/nltk/nltk/corpus/reader/framenet.py
86,long class,301,200,5,20,../input_projects/py_projects/nltk/nltk/corpus/reader/xmldocs.py
113,long class,76,200,25,20,../input_projects/py_projects/nltk/nltk/corpus/reader/wordnet.py
305,long class,667,200,31,20,../input_projects/py_projects/nltk/nltk/corpus/reader/wordnet.py
979,long class,748,200,31,20,../input_projects/py_projects/nltk/nltk/corpus/reader/wordnet.py
33,long class,432,200,29,20,../input_projects/py_projects/nltk/nltk/parse/dependencygraph.py
19,long class,305,200,15,20,../input_projects/py_projects/nltk/nltk/parse/recursivedescent.py
329,long class,293,200,18,20,../input_projects/py_projects/nltk/nltk/parse/recursivedescent.py
384,long class,454,200,22,20,../input_projects/py_projects/nltk/nltk/parse/chart.py
19,long class,250,200,11,20,../input_projects/py_projects/nltk/nltk/parse/shiftreduce.py
25,long class,213,200,8,20,../input_projects/py_projects/nltk/nltk/parse/stanford.py
200,long class,379,200,10,20,../input_projects/py_projects/nltk/nltk/parse/nonprojectivedependencyparser.py
280,long class,349,200,9,20,../input_projects/py_projects/nltk/nltk/parse/transitionparser.py
242,long class,238,200,5,20,../input_projects/py_projects/nltk/nltk/parse/projectivedependencyparser.py
21,long class,298,200,10,20,../input_projects/py_projects/nltk/nltk/parse/viterbi.py
14,long class,245,200,14,20,../input_projects/py_projects/nltk/nltk/tbl/feature.py
99,long class,220,200,14,20,../input_projects/py_projects/nltk/nltk/tbl/rule.py
