Line,Smell,Number of Lines,Threshold,File
542,long method,107,100,../input_projects/py_projects/nltk/nltk/tree.py
413,long method,106,100,../input_projects/py_projects/nltk/nltk/internals.py
449,long method,101,100,../input_projects/py_projects/nltk/nltk/app/chunkparser_app.py
636,long method,153,100,../input_projects/py_projects/nltk/nltk/app/chunkparser_app.py
1222,long method,116,100,../input_projects/py_projects/nltk/nltk/classify/maxent.py
632,long method,147,100,../input_projects/py_projects/nltk/nltk/sem/boxer.py
261,long method,105,100,../input_projects/py_projects/nltk/nltk/corpus/reader/childes.py
865,long method,105,100,../input_projects/py_projects/nltk/nltk/corpus/reader/framenet.py
1232,long method,109,100,../input_projects/py_projects/nltk/nltk/corpus/reader/framenet.py
1981,long method,109,100,../input_projects/py_projects/nltk/nltk/corpus/reader/framenet.py
285,long method,102,100,../input_projects/py_projects/nltk/nltk/corpus/reader/xmldocs.py
1275,long method,118,100,../input_projects/py_projects/nltk/nltk/corpus/reader/wordnet.py
392,long method,127,100,../input_projects/py_projects/nltk/nltk/parse/pchart.py
1573,long method,105,100,../input_projects/py_projects/nltk/nltk/parse/chart.py
436,long method,143,100,../input_projects/py_projects/nltk/nltk/parse/nonprojectivedependencyparser.py
605,long method,126,100,../input_projects/py_projects/nltk/nltk/parse/nonprojectivedependencyparser.py
632,long method,137,100,../input_projects/py_projects/nltk/nltk/parse/transitionparser.py
195,long method,102,100,../input_projects/py_projects/nltk/nltk/tbl/template.py
123,long method,173,100,../input_projects/py_projects/nltk/nltk/tbl/demo.py
109,long method,195,100,../input_projects/py_projects/nltk/nltk/treeprettyprinter.py
307,long method,140,100,../input_projects/py_projects/nltk/nltk/treeprettyprinter.py
424,long method,152,100,../input_projects/py_projects/nltk/nltk/stem/snowball.py
672,long method,373,100,../input_projects/py_projects/nltk/nltk/stem/snowball.py
1100,long method,213,100,../input_projects/py_projects/nltk/nltk/stem/snowball.py
1366,long method,263,100,../input_projects/py_projects/nltk/nltk/stem/snowball.py
1702,long method,111,100,../input_projects/py_projects/nltk/nltk/stem/snowball.py
1897,long method,145,100,../input_projects/py_projects/nltk/nltk/stem/snowball.py
2149,long method,173,100,../input_projects/py_projects/nltk/nltk/stem/snowball.py
2473,long method,145,100,../input_projects/py_projects/nltk/nltk/stem/snowball.py
2703,long method,171,100,../input_projects/py_projects/nltk/nltk/stem/snowball.py
2995,long method,169,100,../input_projects/py_projects/nltk/nltk/stem/snowball.py
3387,long method,154,100,../input_projects/py_projects/nltk/nltk/stem/snowball.py
79,long method,117,100,../input_projects/py_projects/nltk/nltk/align/bleu_score.py
12,long method,118,100,../input_projects/py_projects/nltk/nltk/align/gdfa.py
49,long method,117,100,../input_projects/py_projects/nltk/nltk/align/ibm2.py
79,long method,120,100,../input_projects/py_projects/nltk/nltk/align/ibm3.py
1445,long method,110,100,../input_projects/py_projects/nltk/nltk/featstruct.py
50,long method,216,100,../input_projects/py_projects/nltk/nltk/tag/brill_trainer_orig.py
325,long method,101,100,../input_projects/py_projects/nltk/nltk/tag/tnt.py
96,long method,227,100,../input_projects/py_projects/nltk/nltk/tag/brill_trainer.py
287,long method,102,100,../input_projects/py_projects/nltk/nltk/tag/brill.py
901,long method,129,100,../input_projects/py_projects/nltk/nltk/tag/hmm.py
699,long method,149,100,../input_projects/py_projects/nltk/nltk/data.py
