Line,Smell,Number of Parameters,Threshold,File
22,long parameters,6,5,../input_projects/py_projects/nltk/nltk/misc/wordfinder.py
31,long parameters,7,5,../input_projects/py_projects/nltk/nltk/misc/wordfinder.py
36,long parameters,6,5,../input_projects/py_projects/nltk/nltk/metrics/distance.py
105,long parameters,6,5,../input_projects/py_projects/nltk/nltk/metrics/segmentation.py
121,long parameters,6,5,../input_projects/py_projects/nltk/nltk/metrics/segmentation.py
429,long parameters,6,5,../input_projects/py_projects/nltk/nltk/tree.py
542,long parameters,8,5,../input_projects/py_projects/nltk/nltk/tree.py
750,long parameters,6,5,../input_projects/py_projects/nltk/nltk/tree.py
32,long parameters,8,5,../input_projects/py_projects/nltk/nltk/cluster/em.py
35,long parameters,10,5,../input_projects/py_projects/nltk/nltk/cluster/kmeans.py
90,long parameters,6,5,../input_projects/py_projects/nltk/nltk/internals.py
413,long parameters,6,5,../input_projects/py_projects/nltk/nltk/internals.py
521,long parameters,6,5,../input_projects/py_projects/nltk/nltk/internals.py
526,long parameters,7,5,../input_projects/py_projects/nltk/nltk/internals.py
543,long parameters,7,5,../input_projects/py_projects/nltk/nltk/internals.py
548,long parameters,7,5,../input_projects/py_projects/nltk/nltk/internals.py
643,long parameters,7,5,../input_projects/py_projects/nltk/nltk/internals.py
259,long parameters,6,5,../input_projects/py_projects/nltk/nltk/app/chunkparser_app.py
101,long parameters,6,5,../input_projects/py_projects/nltk/nltk/app/chartparser_app.py
179,long parameters,6,5,../input_projects/py_projects/nltk/nltk/classify/weka.py
227,long parameters,8,5,../input_projects/py_projects/nltk/nltk/classify/maxent.py
647,long parameters,6,5,../input_projects/py_projects/nltk/nltk/classify/maxent.py
1222,long parameters,8,5,../input_projects/py_projects/nltk/nltk/classify/maxent.py
1348,long parameters,6,5,../input_projects/py_projects/nltk/nltk/classify/maxent.py
130,long parameters,7,5,../input_projects/py_projects/nltk/nltk/classify/decisiontree.py
187,long parameters,8,5,../input_projects/py_projects/nltk/nltk/classify/decisiontree.py
195,long parameters,15,5,../input_projects/py_projects/nltk/nltk/downloader.py
443,long parameters,7,5,../input_projects/py_projects/nltk/nltk/downloader.py
646,long parameters,8,5,../input_projects/py_projects/nltk/nltk/downloader.py
1854,long parameters,6,5,../input_projects/py_projects/nltk/nltk/downloader.py
88,long parameters,6,5,../input_projects/py_projects/nltk/nltk/toolbox.py
221,long parameters,6,5,../input_projects/py_projects/nltk/nltk/sem/chat80.py
196,long parameters,7,5,../input_projects/py_projects/nltk/nltk/sem/hole.py
