Line,Smell,Cause,Number of Conditions,Threshold,File
118,complex conditional,long if,5,3,../input_projects/py_projects/numpy/tools/win32build/build.py
77,complex conditional,long if,5,3,../input_projects/py_projects/numpy/tools/win32build/misc/x86analysis.py
83,complex conditional,long if,4,3,../input_projects/py_projects/numpy/tools/win32build/prepare_bootstrap.py
41,complex conditional,long if,4,3,../input_projects/py_projects/numpy/tools/test-installed-numpy.py
131,complex conditional,long if,6,3,../input_projects/py_projects/numpy/tools/c_coverage/c_coverage_report.py
147,complex conditional,long if,7,3,../input_projects/py_projects/numpy/tools/c_coverage/c_coverage_report.py
24,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/unixccompiler.py
276,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/conv_template.py
82,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/cpuinfo.py
660,complex conditional,long if,7,3,../input_projects/py_projects/numpy/numpy/distutils/cpuinfo.py
60,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/ccompiler.py
194,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/ccompiler.py
345,complex conditional,long if,6,3,../input_projects/py_projects/numpy/numpy/distutils/ccompiler.py
620,complex conditional,long if,7,3,../input_projects/py_projects/numpy/numpy/distutils/ccompiler.py
65,complex conditional,long if,7,3,../input_projects/py_projects/numpy/numpy/distutils/npy_pkg_config.py
402,complex conditional,long if,12,3,../input_projects/py_projects/numpy/numpy/distutils/npy_pkg_config.py
212,complex conditional,long if,11,3,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
304,complex conditional,long if,6,3,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
348,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
428,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
460,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
603,complex conditional,long if,6,3,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
631,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
849,complex conditional,long if,6,3,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
1052,complex conditional,long if,8,3,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
1209,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
1221,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
1232,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
1426,complex conditional,long if,5,3,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
1659,complex conditional,long if,5,3,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
1786,complex conditional,long if,5,3,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
1877,complex conditional,long if,5,3,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
1930,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
2194,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
27,complex conditional,long if,6,3,../input_projects/py_projects/numpy/numpy/distutils/log.py
73,complex conditional,long if,5,3,../input_projects/py_projects/numpy/numpy/distutils/log.py
45,complex conditional,long if,7,3,../input_projects/py_projects/numpy/numpy/distutils/lib2def.py
63,complex conditional,long if,5,3,../input_projects/py_projects/numpy/numpy/distutils/tests/test_misc_util.py
197,complex conditional,long if,6,3,../input_projects/py_projects/numpy/numpy/distutils/system_info.py
517,complex conditional,long if,8,3,../input_projects/py_projects/numpy/numpy/distutils/system_info.py
551,complex conditional,long if,5,3,../input_projects/py_projects/numpy/numpy/distutils/system_info.py
561,complex conditional,long if,8,3,../input_projects/py_projects/numpy/numpy/distutils/system_info.py
707,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/system_info.py
724,complex conditional,long if,6,3,../input_projects/py_projects/numpy/numpy/distutils/system_info.py
784,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/system_info.py
949,complex conditional,long if,5,3,../input_projects/py_projects/numpy/numpy/distutils/system_info.py
1463,complex conditional,long if,8,3,../input_projects/py_projects/numpy/numpy/distutils/system_info.py
1510,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/system_info.py
1564,complex conditional,long if,8,3,../input_projects/py_projects/numpy/numpy/distutils/system_info.py
1607,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/system_info.py
2048,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/system_info.py
2057,complex conditional,long if,5,3,../input_projects/py_projects/numpy/numpy/distutils/system_info.py
2263,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/system_info.py
63,complex conditional,long if,5,3,../input_projects/py_projects/numpy/numpy/distutils/core.py
116,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/core.py
173,complex conditional,long if,9,3,../input_projects/py_projects/numpy/numpy/distutils/core.py
199,complex conditional,long if,5,3,../input_projects/py_projects/numpy/numpy/distutils/core.py
183,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/exec_command.py
338,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/exec_command.py
354,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/exec_command.py
422,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/exec_command.py
73,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/from_template.py
153,complex conditional,long if,6,3,../input_projects/py_projects/numpy/numpy/distutils/from_template.py
117,complex conditional,long if,5,3,../input_projects/py_projects/numpy/numpy/distutils/mingw32ccompiler.py
106,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/gnu.py
153,complex conditional,long if,6,3,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/gnu.py
307,complex conditional,long if,5,3,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/gnu.py
324,complex conditional,long if,6,3,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/gnu.py
76,complex conditional,long if,5,3,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/compaq.py
33,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/ibm.py
43,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/ibm.py
69,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/ibm.py
349,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/__init__.py
565,complex conditional,long if,5,3,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/__init__.py
651,complex conditional,long if,8,3,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/__init__.py
685,complex conditional,long if,6,3,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/__init__.py
767,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/__init__.py
843,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/__init__.py
40,complex conditional,long if,6,3,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/mips.py
80,complex conditional,long if,4,3,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/absoft.py
