Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
122,long class,146,200,23,20,../input_projects/py_projects/numpy/tools/swig/test/testArray.py
21,long class,249,200,28,20,../input_projects/py_projects/numpy/tools/swig/test/testTensor.py
21,long class,235,200,28,20,../input_projects/py_projects/numpy/tools/swig/test/testSuperTensor.py
20,long class,239,200,32,20,../input_projects/py_projects/numpy/tools/swig/test/testVector.py
20,long class,220,200,28,20,../input_projects/py_projects/numpy/tools/swig/test/testMatrix.py
105,long class,194,200,46,20,../input_projects/py_projects/numpy/numpy/distutils/cpuinfo.py
301,long class,55,200,37,20,../input_projects/py_projects/numpy/numpy/distutils/cpuinfo.py
359,long class,43,200,25,20,../input_projects/py_projects/numpy/numpy/distutils/cpuinfo.py
405,long class,72,200,25,20,../input_projects/py_projects/numpy/numpy/distutils/cpuinfo.py
479,long class,179,200,31,20,../input_projects/py_projects/numpy/numpy/distutils/cpuinfo.py
659,long class,1359,200,43,20,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
450,long class,296,200,18,20,../input_projects/py_projects/numpy/numpy/distutils/system_info.py
65,long class,639,200,37,20,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/__init__.py
30,long class,473,200,9,20,../input_projects/py_projects/numpy/numpy/distutils/command/build_ext.py
25,long class,434,200,16,20,../input_projects/py_projects/numpy/numpy/distutils/command/config.py
51,long class,695,200,19,20,../input_projects/py_projects/numpy/numpy/distutils/command/build_src.py
25,long class,259,200,7,20,../input_projects/py_projects/numpy/numpy/distutils/command/build_clib.py
285,long class,215,200,7,20,../input_projects/py_projects/numpy/numpy/core/records.py
21,long class,414,200,13,20,../input_projects/py_projects/numpy/numpy/core/tests/test_half.py
20,long class,392,200,32,20,../input_projects/py_projects/numpy/numpy/core/tests/test_indexing.py
568,long class,403,200,8,20,../input_projects/py_projects/numpy/numpy/core/tests/test_indexing.py
836,long class,425,200,38,20,../input_projects/py_projects/numpy/numpy/core/tests/test_umath.py
581,long class,253,200,7,20,../input_projects/py_projects/numpy/numpy/core/tests/test_numeric.py
1067,long class,427,200,45,20,../input_projects/py_projects/numpy/numpy/core/tests/test_numeric.py
18,long class,1754,200,56,20,../input_projects/py_projects/numpy/numpy/core/tests/test_datetime.py
282,long class,270,200,26,20,../input_projects/py_projects/numpy/numpy/core/tests/test_defchararray.py
12,long class,1137,200,59,20,../input_projects/py_projects/numpy/numpy/core/tests/test_ufunc.py
10,long class,569,200,22,20,../input_projects/py_projects/numpy/numpy/core/tests/test_einsum.py
832,long class,1080,200,30,20,../input_projects/py_projects/numpy/numpy/core/tests/test_multiarray.py
2675,long class,253,200,32,20,../input_projects/py_projects/numpy/numpy/core/tests/test_multiarray.py
3910,long class,264,200,15,20,../input_projects/py_projects/numpy/numpy/core/tests/test_multiarray.py
25,long class,2079,200,246,20,../input_projects/py_projects/numpy/numpy/core/tests/test_regression.py
23,long class,285,200,3,20,../input_projects/py_projects/numpy/numpy/core/memmap.py
1668,long class,805,200,55,20,../input_projects/py_projects/numpy/numpy/core/defchararray.py
17,long class,317,200,3,20,../input_projects/py_projects/numpy/numpy/core/machar.py
25,long class,628,200,27,20,../input_projects/py_projects/numpy/numpy/ma/tests/test_old_ma.py
30,long class,612,200,42,20,../input_projects/py_projects/numpy/numpy/ma/tests/test_core.py
646,long class,529,200,31,20,../input_projects/py_projects/numpy/numpy/ma/tests/test_core.py
1350,long class,264,200,11,20,../input_projects/py_projects/numpy/numpy/ma/tests/test_core.py
1716,long class,275,200,19,20,../input_projects/py_projects/numpy/numpy/ma/tests/test_core.py
1995,long class,645,200,29,20,../input_projects/py_projects/numpy/numpy/ma/tests/test_core.py
2644,long class,215,200,13,20,../input_projects/py_projects/numpy/numpy/ma/tests/test_core.py
2917,long class,505,200,28,20,../input_projects/py_projects/numpy/numpy/ma/tests/test_core.py
32,long class,327,200,17,20,../input_projects/py_projects/numpy/numpy/ma/tests/test_mrecords.py
2586,long class,3033,200,93,20,../input_projects/py_projects/numpy/numpy/ma/core.py
18,long class,409,200,13,20,../input_projects/py_projects/numpy/numpy/ma/timer_comparison.py
103,long class,356,200,19,20,../input_projects/py_projects/numpy/numpy/ma/mrecords.py
291,long class,252,200,21,20,../input_projects/py_projects/numpy/numpy/f2py/tests/test_array_from_pyobj.py
129,long class,375,200,7,20,../input_projects/py_projects/numpy/numpy/testing/nosetester.py
8,long class,326,200,13,20,../input_projects/py_projects/numpy/numpy/_import_tools.py
468,long class,345,200,11,20,../input_projects/py_projects/numpy/numpy/lib/_iotools.py
478,long class,306,200,24,20,../input_projects/py_projects/numpy/numpy/lib/tests/test_io.py
825,long class,836,200,66,20,../input_projects/py_projects/numpy/numpy/lib/tests/test_io.py
15,long class,282,200,13,20,../input_projects/py_projects/numpy/numpy/lib/tests/test_arraysetops.py
633,long class,168,200,26,20,../input_projects/py_projects/numpy/numpy/lib/tests/test_function_base.py
1663,long class,301,200,20,20,../input_projects/py_projects/numpy/numpy/lib/tests/test_function_base.py
12,long class,217,200,10,20,../input_projects/py_projects/numpy/numpy/lib/tests/test_arraypad.py
17,long class,244,200,31,20,../input_projects/py_projects/numpy/numpy/lib/tests/test_regression.py
18,long class,237,200,66,20,../input_projects/py_projects/numpy/numpy/lib/user_array.py
998,long class,111,200,22,20,../input_projects/py_projects/numpy/numpy/lib/utils.py
20,long class,206,200,7,20,../input_projects/py_projects/numpy/numpy/lib/arrayterator.py
1529,long class,248,200,6,20,../input_projects/py_projects/numpy/numpy/lib/function_base.py
933,long class,334,200,27,20,../input_projects/py_projects/numpy/numpy/lib/polynomial.py
154,long class,347,200,13,20,../input_projects/py_projects/numpy/numpy/lib/_datasource.py
131,long class,527,200,55,20,../input_projects/py_projects/numpy/numpy/random/tests/test_random.py
206,long class,792,200,31,20,../input_projects/py_projects/numpy/numpy/matrixlib/defmatrix.py
19,long class,943,200,65,20,../input_projects/py_projects/numpy/numpy/polynomial/_polybase.py
