Line,Smell,Number of Lines,Threshold,File
984,long method,117,100,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
1112,long method,149,100,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
1354,long method,101,100,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
1250,long method,102,100,../input_projects/py_projects/numpy/numpy/distutils/system_info.py
330,long method,116,100,../input_projects/py_projects/numpy/numpy/distutils/exec_command.py
51,long method,108,100,../input_projects/py_projects/numpy/numpy/distutils/mingw32ccompiler.py
54,long method,180,100,../input_projects/py_projects/numpy/numpy/distutils/command/build_ext.py
241,long method,181,100,../input_projects/py_projects/numpy/numpy/distutils/command/build_ext.py
496,long method,136,100,../input_projects/py_projects/numpy/numpy/distutils/command/build_src.py
634,long method,112,100,../input_projects/py_projects/numpy/numpy/distutils/command/build_src.py
124,long method,160,100,../input_projects/py_projects/numpy/numpy/distutils/command/build_clib.py
224,long method,123,100,../input_projects/py_projects/numpy/numpy/core/fromnumeric.py
694,long method,106,100,../input_projects/py_projects/numpy/numpy/core/fromnumeric.py
1128,long method,102,100,../input_projects/py_projects/numpy/numpy/core/fromnumeric.py
361,long method,164,100,../input_projects/py_projects/numpy/numpy/core/_internal.py
613,long method,231,100,../input_projects/py_projects/numpy/numpy/core/tests/test_indexing.py
1116,long method,101,100,../input_projects/py_projects/numpy/numpy/core/tests/test_umath.py
1225,long method,111,100,../input_projects/py_projects/numpy/numpy/core/tests/test_datetime.py
1535,long method,166,100,../input_projects/py_projects/numpy/numpy/core/tests/test_datetime.py
142,long method,132,100,../input_projects/py_projects/numpy/numpy/core/tests/test_umath_complex.py
33,long method,137,100,../input_projects/py_projects/numpy/numpy/core/tests/test_ufunc.py
958,long method,133,100,../input_projects/py_projects/numpy/numpy/core/tests/test_ufunc.py
76,long method,129,100,../input_projects/py_projects/numpy/numpy/core/tests/test_einsum.py
207,long method,228,100,../input_projects/py_projects/numpy/numpy/core/tests/test_einsum.py
14,long method,145,100,../input_projects/py_projects/numpy/numpy/core/tests/test_api.py
181,long method,104,100,../input_projects/py_projects/numpy/numpy/core/tests/test_api.py
846,long method,147,100,../input_projects/py_projects/numpy/numpy/core/tests/test_multiarray.py
1054,long method,117,100,../input_projects/py_projects/numpy/numpy/core/tests/test_multiarray.py
1382,long method,206,100,../input_projects/py_projects/numpy/numpy/core/tests/test_multiarray.py
1917,long method,116,100,../input_projects/py_projects/numpy/numpy/core/tests/test_multiarray.py
1669,long method,126,100,../input_projects/py_projects/numpy/numpy/core/tests/test_nditer.py
1797,long method,163,100,../input_projects/py_projects/numpy/numpy/core/tests/test_nditer.py
2476,long method,159,100,../input_projects/py_projects/numpy/numpy/core/defchararray.py
113,long method,209,100,../input_projects/py_projects/numpy/numpy/core/machar.py
396,long method,616,100,../input_projects/py_projects/numpy/numpy/core/setup.py
421,long method,112,100,../input_projects/py_projects/numpy/numpy/core/setup.py
1106,long method,171,100,../input_projects/py_projects/numpy/numpy/core/numeric.py
1406,long method,191,100,../input_projects/py_projects/numpy/numpy/core/numeric.py
45,long method,122,100,../input_projects/py_projects/numpy/numpy/core/arrayprint.py
343,long method,112,100,../input_projects/py_projects/numpy/numpy/core/arrayprint.py
607,long method,207,100,../input_projects/py_projects/numpy/numpy/linalg/linalg.py
982,long method,131,100,../input_projects/py_projects/numpy/numpy/linalg/linalg.py
1116,long method,104,100,../input_projects/py_projects/numpy/numpy/linalg/linalg.py
1225,long method,116,100,../input_projects/py_projects/numpy/numpy/linalg/linalg.py
1733,long method,158,100,../input_projects/py_projects/numpy/numpy/linalg/linalg.py
1924,long method,212,100,../input_projects/py_projects/numpy/numpy/linalg/linalg.py
470,long method,140,100,../input_projects/py_projects/numpy/numpy/ma/extras.py
613,long method,102,100,../input_projects/py_projects/numpy/numpy/ma/extras.py
1706,long method,113,100,../input_projects/py_projects/numpy/numpy/ma/core.py
2638,long method,123,100,../input_projects/py_projects/numpy/numpy/ma/core.py
6931,long method,102,100,../input_projects/py_projects/numpy/numpy/ma/core.py
308,long method,182,100,../input_projects/py_projects/numpy/numpy/f2py/crackfortran.py
547,long method,133,100,../input_projects/py_projects/numpy/numpy/f2py/crackfortran.py
766,long method,457,100,../input_projects/py_projects/numpy/numpy/f2py/crackfortran.py
1286,long method,125,100,../input_projects/py_projects/numpy/numpy/f2py/crackfortran.py
2110,long method,320,100,../input_projects/py_projects/numpy/numpy/f2py/crackfortran.py
2658,long method,117,100,../input_projects/py_projects/numpy/numpy/f2py/crackfortran.py
415,long method,123,100,../input_projects/py_projects/numpy/numpy/f2py/cb_rules.py
1159,long method,162,100,../input_projects/py_projects/numpy/numpy/f2py/rules.py
1327,long method,118,100,../input_projects/py_projects/numpy/numpy/f2py/rules.py
409,long method,172,100,../input_projects/py_projects/numpy/numpy/f2py/f2py2e.py
78,long method,101,100,../input_projects/py_projects/numpy/numpy/f2py/func2subr.py
12,long method,135,100,../input_projects/py_projects/numpy/numpy/f2py/diagnose.py
85,long method,161,100,../input_projects/py_projects/numpy/numpy/f2py/f90mod_rules.py
318,long method,115,100,../input_projects/py_projects/numpy/numpy/testing/nosetester.py
223,long method,111,100,../input_projects/py_projects/numpy/numpy/testing/utils.py
375,long method,115,100,../input_projects/py_projects/numpy/numpy/testing/utils.py
741,long method,101,100,../input_projects/py_projects/numpy/numpy/testing/utils.py
130,long method,109,100,../input_projects/py_projects/numpy/numpy/_import_tools.py
761,long method,121,100,../input_projects/py_projects/numpy/numpy/lib/nanfunctions.py
933,long method,128,100,../input_projects/py_projects/numpy/numpy/lib/nanfunctions.py
329,long method,134,100,../input_projects/py_projects/numpy/numpy/lib/recfunctions.py
823,long method,165,100,../input_projects/py_projects/numpy/numpy/lib/recfunctions.py
635,long method,108,100,../input_projects/py_projects/numpy/numpy/lib/format.py
578,long method,133,100,../input_projects/py_projects/numpy/numpy/lib/twodim_base.py
665,long method,106,100,../input_projects/py_projects/numpy/numpy/lib/index_tricks.py
284,long method,119,100,../input_projects/py_projects/numpy/numpy/lib/npyio.py
631,long method,265,100,../input_projects/py_projects/numpy/numpy/lib/npyio.py
899,long method,194,100,../input_projects/py_projects/numpy/numpy/lib/npyio.py
1184,long method,630,100,../input_projects/py_projects/numpy/numpy/lib/npyio.py
20,long method,111,100,../input_projects/py_projects/numpy/numpy/lib/shape_base.py
438,long method,202,100,../input_projects/py_projects/numpy/numpy/lib/utils.py
700,long method,126,100,../input_projects/py_projects/numpy/numpy/lib/utils.py
828,long method,144,100,../input_projects/py_projects/numpy/numpy/lib/utils.py
78,long method,161,100,../input_projects/py_projects/numpy/numpy/lib/function_base.py
242,long method,191,100,../input_projects/py_projects/numpy/numpy/lib/function_base.py
436,long method,111,100,../input_projects/py_projects/numpy/numpy/lib/function_base.py
617,long method,116,100,../input_projects/py_projects/numpy/numpy/lib/function_base.py
886,long method,166,100,../input_projects/py_projects/numpy/numpy/lib/function_base.py
1780,long method,121,100,../input_projects/py_projects/numpy/numpy/lib/function_base.py
2058,long method,104,100,../input_projects/py_projects/numpy/numpy/lib/function_base.py
2513,long method,124,100,../input_projects/py_projects/numpy/numpy/lib/function_base.py
2947,long method,114,100,../input_projects/py_projects/numpy/numpy/lib/function_base.py
3285,long method,139,100,../input_projects/py_projects/numpy/numpy/lib/function_base.py
3427,long method,195,100,../input_projects/py_projects/numpy/numpy/lib/function_base.py
3625,long method,204,100,../input_projects/py_projects/numpy/numpy/lib/function_base.py
96,long method,117,100,../input_projects/py_projects/numpy/numpy/lib/arraysetops.py
1093,long method,382,100,../input_projects/py_projects/numpy/numpy/lib/arraypad.py
31,long method,118,100,../input_projects/py_projects/numpy/numpy/lib/polynomial.py
396,long method,209,100,../input_projects/py_projects/numpy/numpy/lib/polynomial.py
98,long method,105,100,../input_projects/py_projects/numpy/numpy/matrixlib/defmatrix.py
726,long method,124,100,../input_projects/py_projects/numpy/numpy/polynomial/laguerre.py
1367,long method,174,100,../input_projects/py_projects/numpy/numpy/polynomial/laguerre.py
726,long method,122,100,../input_projects/py_projects/numpy/numpy/polynomial/hermite_e.py
1365,long method,174,100,../input_projects/py_projects/numpy/numpy/polynomial/hermite_e.py
967,long method,128,100,../input_projects/py_projects/numpy/numpy/polynomial/chebyshev.py
1597,long method,169,100,../input_projects/py_projects/numpy/numpy/polynomial/chebyshev.py
566,long method,118,100,../input_projects/py_projects/numpy/numpy/polynomial/polynomial.py
1196,long method,192,100,../input_projects/py_projects/numpy/numpy/polynomial/polynomial.py
767,long method,128,100,../input_projects/py_projects/numpy/numpy/polynomial/legendre.py
1398,long method,169,100,../input_projects/py_projects/numpy/numpy/polynomial/legendre.py
727,long method,122,100,../input_projects/py_projects/numpy/numpy/polynomial/hermite.py
1368,long method,174,100,../input_projects/py_projects/numpy/numpy/polynomial/hermite.py
64,long method,156,100,../input_projects/py_projects/numpy/runtests.py
