Line,Smell,Number of Parameters,Threshold,File
20,long parameters,7,5,../input_projects/py_projects/numpy/numpy/distutils/unixccompiler.py
45,long parameters,6,5,../input_projects/py_projects/numpy/numpy/distutils/unixccompiler.py
123,long parameters,9,5,../input_projects/py_projects/numpy/numpy/distutils/ccompiler.py
121,long parameters,7,5,../input_projects/py_projects/numpy/numpy/distutils/npy_pkg_config.py
669,long parameters,8,5,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
833,long parameters,6,5,../input_projects/py_projects/numpy/numpy/distutils/misc_util.py
157,long parameters,6,5,../input_projects/py_projects/numpy/numpy/distutils/exec_command.py
163,long parameters,14,5,../input_projects/py_projects/numpy/numpy/distutils/mingw32ccompiler.py
562,long parameters,7,5,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/__init__.py
635,long parameters,14,5,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/__init__.py
822,long parameters,7,5,../input_projects/py_projects/numpy/numpy/distutils/fcompiler/__init__.py
23,long parameters,20,5,../input_projects/py_projects/numpy/numpy/distutils/extension.py
34,long parameters,7,5,../input_projects/py_projects/numpy/numpy/distutils/command/config.py
113,long parameters,7,5,../input_projects/py_projects/numpy/numpy/distutils/command/config.py
229,long parameters,6,5,../input_projects/py_projects/numpy/numpy/distutils/command/config.py
312,long parameters,9,5,../input_projects/py_projects/numpy/numpy/distutils/command/config.py
346,long parameters,9,5,../input_projects/py_projects/numpy/numpy/distutils/command/config.py
416,long parameters,8,5,../input_projects/py_projects/numpy/numpy/distutils/command/config.py
159,long parameters,9,5,../input_projects/py_projects/numpy/numpy/compat/_inspect.py
185,long parameters,9,5,../input_projects/py_projects/numpy/numpy/compat/_inspect.py
1233,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/fromnumeric.py
2737,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/fromnumeric.py
2838,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/fromnumeric.py
77,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/_methods.py
123,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/_methods.py
143,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/records.py
391,long parameters,12,5,../input_projects/py_projects/numpy/numpy/core/records.py
503,long parameters,8,5,../input_projects/py_projects/numpy/numpy/core/records.py
569,long parameters,8,5,../input_projects/py_projects/numpy/numpy/core/records.py
633,long parameters,9,5,../input_projects/py_projects/numpy/numpy/core/records.py
663,long parameters,9,5,../input_projects/py_projects/numpy/numpy/core/records.py
731,long parameters,11,5,../input_projects/py_projects/numpy/numpy/core/records.py
160,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/tests/test_blasdot.py
164,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/tests/test_blasdot.py
42,long parameters,8,5,../input_projects/py_projects/numpy/numpy/core/tests/test_deprecations.py
997,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/tests/test_umath.py
1036,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/tests/test_umath.py
1040,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/tests/test_umath.py
1044,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/tests/test_umath.py
1048,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/tests/test_umath.py
1052,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/tests/test_umath.py
1118,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/tests/test_umath.py
1222,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/tests/test_umath.py
1227,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/tests/test_umath.py
1478,long parameters,7,5,../input_projects/py_projects/numpy/numpy/core/tests/test_umath.py
527,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/tests/test_umath_complex.py
1754,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/tests/test_multiarray.py
1758,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/tests/test_multiarray.py
2053,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/tests/test_multiarray.py
2489,long parameters,8,5,../input_projects/py_projects/numpy/numpy/core/tests/test_multiarray.py
198,long parameters,7,5,../input_projects/py_projects/numpy/numpy/core/memmap.py
1810,long parameters,8,5,../input_projects/py_projects/numpy/numpy/core/defchararray.py
97,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/machar.py
113,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/machar.py
377,long parameters,7,5,../input_projects/py_projects/numpy/numpy/core/code_generators/genapi.py
41,long parameters,6,5,../input_projects/py_projects/numpy/numpy/core/code_generators/generate_umath.py
