Line,Smell,Cause,Number of Conditions,Threshold,File
273,complex conditional,long if,4,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/gil.py
37,complex conditional,long if,8,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/algorithms.py
87,complex conditional,long if,7,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/algorithms.py
70,complex conditional,long if,6,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/indexing_engines.py
118,complex conditional,long if,6,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/indexing_engines.py
90,complex conditional,long if,4,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/join_merge.py
101,complex conditional,long if,5,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/join_merge.py
156,complex conditional,long if,4,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/index_object.py
34,complex conditional,long if,6,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/algos/isin.py
196,complex conditional,long if,4,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/algos/isin.py
243,complex conditional,long if,5,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/algos/isin.py
26,complex conditional,long if,11,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/index_cached_properties.py
29,complex conditional,long if,6,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/attrs_caching.py
261,complex conditional,long if,4,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/categoricals.py
124,complex conditional,long if,4,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/indexing.py
412,complex conditional,long if,4,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/multiindex_object.py
121,complex conditional,long if,6,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/array.py
533,complex conditional,long if,6,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/groupby.py
41,complex conditional,long if,4,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/strings.py
92,complex conditional,long if,5,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/series_methods.py
159,complex conditional,long if,4,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/series_methods.py
352,complex conditional,long if,5,3,../input_projects/py_projects/pandas/asv_bench/benchmarks/series_methods.py
