Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
55,long class,303,200,7,20,../input_projects/py_projects/pandas/web/pandas_web.py
147,long class,94,200,25,20,../input_projects/py_projects/pandas/asv_bench/benchmarks/frame_methods.py
56,long class,111,200,37,20,../input_projects/py_projects/pandas/asv_bench/benchmarks/strings.py
156,long class,221,200,2,20,../input_projects/py_projects/pandas/scripts/tests/test_validate_unwanted_patterns.py
32,long class,266,200,13,20,../input_projects/py_projects/pandas/doc/make.py
713,long class,976,200,17,20,../input_projects/py_projects/pandas/pandas/core/reshape/merge.py
1959,long class,338,200,7,20,../input_projects/py_projects/pandas/pandas/core/reshape/merge.py
398,long class,376,200,11,20,../input_projects/py_projects/pandas/pandas/core/reshape/concat.py
64,long class,331,200,12,20,../input_projects/py_projects/pandas/pandas/core/reshape/reshape.py
157,long class,3249,200,54,20,../input_projects/py_projects/pandas/pandas/core/strings/accessor.py
35,long class,462,200,61,20,../input_projects/py_projects/pandas/pandas/core/strings/object_array.py
21,long class,241,200,50,20,../input_projects/py_projects/pandas/pandas/core/strings/base.py
121,long class,1502,200,38,20,../input_projects/py_projects/pandas/pandas/core/resample.py
2078,long class,457,200,9,20,../input_projects/py_projects/pandas/pandas/core/resample.py
31,long class,215,200,31,20,../input_projects/py_projects/pandas/pandas/core/arraylike.py
244,long class,12624,200,254,20,../input_projects/py_projects/pandas/pandas/core/generic.py
263,long class,6359,200,187,20,../input_projects/py_projects/pandas/pandas/core/series.py
63,long class,336,200,15,20,../input_projects/py_projects/pandas/pandas/core/interchange/column.py
156,long class,531,200,20,20,../input_projects/py_projects/pandas/pandas/core/dtypes/dtypes.py
691,long class,251,200,17,20,../input_projects/py_projects/pandas/pandas/core/dtypes/dtypes.py
946,long class,215,200,14,20,../input_projects/py_projects/pandas/pandas/core/dtypes/dtypes.py
1165,long class,265,200,15,20,../input_projects/py_projects/pandas/pandas/core/dtypes/dtypes.py
1611,long class,432,200,20,20,../input_projects/py_projects/pandas/pandas/core/dtypes/dtypes.py
2047,long class,301,200,16,20,../input_projects/py_projects/pandas/pandas/core/dtypes/dtypes.py
43,long class,403,200,21,20,../input_projects/py_projects/pandas/pandas/core/dtypes/base.py
154,long class,1172,200,33,20,../input_projects/py_projects/pandas/pandas/core/groupby/generic.py
1329,long class,1496,200,31,20,../input_projects/py_projects/pandas/pandas/core/groupby/generic.py
105,long class,452,200,11,20,../input_projects/py_projects/pandas/pandas/core/groupby/ops.py
560,long class,390,200,30,20,../input_projects/py_projects/pandas/pandas/core/groupby/ops.py
66,long class,419,200,10,20,../input_projects/py_projects/pandas/pandas/core/groupby/grouper.py
489,long class,354,200,17,20,../input_projects/py_projects/pandas/pandas/core/groupby/grouper.py
32,long class,213,200,8,20,../input_projects/py_projects/pandas/pandas/core/groupby/indexing.py
764,long class,454,200,14,20,../input_projects/py_projects/pandas/pandas/core/groupby/groupby.py
1225,long class,4699,200,83,20,../input_projects/py_projects/pandas/pandas/core/groupby/groupby.py
101,long class,495,200,33,20,../input_projects/py_projects/pandas/pandas/core/internals/array_manager.py
599,long class,466,200,20,20,../input_projects/py_projects/pandas/pandas/core/internals/array_manager.py
1068,long class,169,200,23,20,../input_projects/py_projects/pandas/pandas/core/internals/array_manager.py
181,long class,1819,200,63,20,../input_projects/py_projects/pandas/pandas/core/internals/blocks.py
2003,long class,282,200,8,20,../input_projects/py_projects/pandas/pandas/core/internals/blocks.py
2288,long class,282,200,11,20,../input_projects/py_projects/pandas/pandas/core/internals/blocks.py
65,long class,259,200,25,20,../input_projects/py_projects/pandas/pandas/core/internals/base.py
108,long class,792,200,39,20,../input_projects/py_projects/pandas/pandas/core/internals/managers.py
903,long class,917,200,31,20,../input_projects/py_projects/pandas/pandas/core/internals/managers.py
1823,long class,263,200,28,20,../input_projects/py_projects/pandas/pandas/core/internals/managers.py
121,long class,234,200,10,20,../input_projects/py_projects/pandas/pandas/core/computation/scope.py
340,long class,406,200,29,20,../input_projects/py_projects/pandas/pandas/core/computation/expr.py
133,long class,764,200,15,20,../input_projects/py_projects/pandas/pandas/core/window/ewm.py
120,long class,560,200,26,20,../input_projects/py_projects/pandas/pandas/core/window/rolling.py
884,long class,579,200,10,20,../input_projects/py_projects/pandas/pandas/core/window/rolling.py
1466,long class,386,200,21,20,../input_projects/py_projects/pandas/pandas/core/window/rolling.py
1855,long class,1011,200,20,20,../input_projects/py_projects/pandas/pandas/core/window/rolling.py
51,long class,891,200,19,20,../input_projects/py_projects/pandas/pandas/core/window/expanding.py
246,long class,2520,200,77,20,../input_projects/py_projects/pandas/pandas/core/arrays/categorical.py
213,long class,1663,200,64,20,../input_projects/py_projects/pandas/pandas/core/arrays/interval.py
215,long class,258,200,6,20,../input_projects/py_projects/pandas/pandas/core/arrays/arrow/accessors.py
237,long class,2687,200,160,20,../input_projects/py_projects/pandas/pandas/core/arrays/arrow/array.py
103,long class,880,200,39,20,../input_projects/py_projects/pandas/pandas/core/arrays/timedeltas.py
166,long class,2011,200,38,20,../input_projects/py_projects/pandas/pandas/core/arrays/datetimes.py
275,long class,382,200,18,20,../input_projects/py_projects/pandas/pandas/core/arrays/string_.py
48,long class,513,200,32,20,../input_projects/py_projects/pandas/pandas/core/arrays/numpy_.py
82,long class,513,200,45,20,../input_projects/py_projects/pandas/pandas/core/arrays/string_arrow.py
107,long class,1505,200,79,20,../input_projects/py_projects/pandas/pandas/core/arrays/masked.py
121,long class,847,200,31,20,../input_projects/py_projects/pandas/pandas/core/arrays/period.py
196,long class,1536,200,75,20,../input_projects/py_projects/pandas/pandas/core/arrays/datetimelike.py
1938,long class,478,200,26,20,../input_projects/py_projects/pandas/pandas/core/arrays/datetimelike.py
287,long class,1556,200,69,20,../input_projects/py_projects/pandas/pandas/core/arrays/sparse/array.py
