Line,Smell,Number of Lines,Threshold,File
239,long method,122,100,../input_projects/py_projects/pandas/scripts/validate_unwanted_patterns.py
419,long method,134,100,../input_projects/py_projects/pandas/pandas/core/indexers/utils.py
52,long method,216,100,../input_projects/py_projects/pandas/pandas/core/reshape/tile.py
299,long method,138,100,../input_projects/py_projects/pandas/pandas/core/reshape/merge.py
440,long method,268,100,../input_projects/py_projects/pandas/pandas/core/reshape/merge.py
1003,long method,114,100,../input_projects/py_projects/pandas/pandas/core/reshape/merge.py
1233,long method,128,100,../input_projects/py_projects/pandas/pandas/core/reshape/merge.py
1364,long method,188,100,../input_projects/py_projects/pandas/pandas/core/reshape/merge.py
2398,long method,187,100,../input_projects/py_projects/pandas/pandas/core/reshape/merge.py
43,long method,192,100,../input_projects/py_projects/pandas/pandas/core/reshape/encoding.py
238,long method,126,100,../input_projects/py_projects/pandas/pandas/core/reshape/encoding.py
367,long method,203,100,../input_projects/py_projects/pandas/pandas/core/reshape/encoding.py
157,long method,238,100,../input_projects/py_projects/pandas/pandas/core/reshape/concat.py
781,long method,113,100,../input_projects/py_projects/pandas/pandas/core/reshape/concat.py
716,long method,129,100,../input_projects/py_projects/pandas/pandas/core/reshape/reshape.py
885,long method,104,100,../input_projects/py_projects/pandas/pandas/core/reshape/reshape.py
221,long method,291,100,../input_projects/py_projects/pandas/pandas/core/reshape/melt.py
118,long method,135,100,../input_projects/py_projects/pandas/pandas/core/reshape/pivot.py
578,long method,170,100,../input_projects/py_projects/pandas/pandas/core/reshape/pivot.py
255,long method,157,100,../input_projects/py_projects/pandas/pandas/core/strings/accessor.py
479,long method,229,100,../input_projects/py_projects/pandas/pandas/core/strings/accessor.py
1201,long method,135,100,../input_projects/py_projects/pandas/pandas/core/strings/accessor.py
1420,long method,150,100,../input_projects/py_projects/pandas/pandas/core/strings/accessor.py
2650,long method,125,100,../input_projects/py_projects/pandas/pandas/core/strings/accessor.py
435,long method,111,100,../input_projects/py_projects/pandas/pandas/core/missing.py
79,long method,144,100,../input_projects/py_projects/pandas/pandas/core/tools/timedeltas.py
314,long method,139,100,../input_projects/py_projects/pandas/pandas/core/tools/datetimes.py
673,long method,435,100,../input_projects/py_projects/pandas/pandas/core/tools/datetimes.py
25,long method,115,100,../input_projects/py_projects/pandas/pandas/core/tools/times.py
44,long method,285,100,../input_projects/py_projects/pandas/pandas/core/tools/numeric.py
78,long method,194,100,../input_projects/py_projects/pandas/pandas/core/methods/to_dict.py
632,long method,180,100,../input_projects/py_projects/pandas/pandas/core/algorithms.py
1131,long method,109,100,../input_projects/py_projects/pandas/pandas/core/algorithms.py
1339,long method,103,100,../input_projects/py_projects/pandas/pandas/core/algorithms.py
1452,long method,127,100,../input_projects/py_projects/pandas/pandas/core/algorithms.py
755,long method,165,100,../input_projects/py_projects/pandas/pandas/core/resample.py
923,long method,174,100,../input_projects/py_projects/pandas/pandas/core/resample.py
2103,long method,105,100,../input_projects/py_projects/pandas/pandas/core/resample.py
253,long method,162,100,../input_projects/py_projects/pandas/pandas/core/arraylike.py
74,long method,310,100,../input_projects/py_projects/pandas/pandas/core/construction.py
517,long method,146,100,../input_projects/py_projects/pandas/pandas/core/construction.py
952,long method,112,100,../input_projects/py_projects/pandas/pandas/core/generic.py
1180,long method,185,100,../input_projects/py_projects/pandas/pandas/core/generic.py
2268,long method,155,100,../input_projects/py_projects/pandas/pandas/core/generic.py
2433,long method,281,100,../input_projects/py_projects/pandas/pandas/core/generic.py
2720,long method,148,100,../input_projects/py_projects/pandas/pandas/core/generic.py
2874,long method,221,100,../input_projects/py_projects/pandas/pandas/core/generic.py
3388,long method,282,100,../input_projects/py_projects/pandas/pandas/core/generic.py
3802,long method,179,100,../input_projects/py_projects/pandas/pandas/core/generic.py
4025,long method,112,100,../input_projects/py_projects/pandas/pandas/core/generic.py
4157,long method,177,100,../input_projects/py_projects/pandas/pandas/core/generic.py
4589,long method,121,100,../input_projects/py_projects/pandas/pandas/core/generic.py
5087,long method,150,100,../input_projects/py_projects/pandas/pandas/core/generic.py
5344,long method,265,100,../input_projects/py_projects/pandas/pandas/core/generic.py
5707,long method,106,100,../input_projects/py_projects/pandas/pandas/core/generic.py
5974,long method,147,100,../input_projects/py_projects/pandas/pandas/core/generic.py
6125,long method,103,100,../input_projects/py_projects/pandas/pandas/core/generic.py
6461,long method,196,100,../input_projects/py_projects/pandas/pandas/core/generic.py
6660,long method,152,100,../input_projects/py_projects/pandas/pandas/core/generic.py
6890,long method,147,100,../input_projects/py_projects/pandas/pandas/core/generic.py
7144,long method,299,100,../input_projects/py_projects/pandas/pandas/core/generic.py
7486,long method,117,100,../input_projects/py_projects/pandas/pandas/core/generic.py
7679,long method,128,100,../input_projects/py_projects/pandas/pandas/core/generic.py
7888,long method,262,100,../input_projects/py_projects/pandas/pandas/core/generic.py
8198,long method,315,100,../input_projects/py_projects/pandas/pandas/core/generic.py
8519,long method,166,100,../input_projects/py_projects/pandas/pandas/core/generic.py
8918,long method,191,100,../input_projects/py_projects/pandas/pandas/core/generic.py
9113,long method,122,100,../input_projects/py_projects/pandas/pandas/core/generic.py
9381,long method,400,100,../input_projects/py_projects/pandas/pandas/core/generic.py
9947,long method,154,100,../input_projects/py_projects/pandas/pandas/core/generic.py
10187,long method,287,100,../input_projects/py_projects/pandas/pandas/core/generic.py
10613,long method,149,100,../input_projects/py_projects/pandas/pandas/core/generic.py
10808,long method,173,100,../input_projects/py_projects/pandas/pandas/core/generic.py
11079,long method,151,100,../input_projects/py_projects/pandas/pandas/core/generic.py
