Line,Smell,Number of Parameters,Threshold,File
41,long parameters,6,5,../input_projects/py_projects/pandas/asv_bench/benchmarks/rolling.py
46,long parameters,6,5,../input_projects/py_projects/pandas/asv_bench/benchmarks/rolling.py
68,long parameters,7,5,../input_projects/py_projects/pandas/asv_bench/benchmarks/rolling.py
83,long parameters,7,5,../input_projects/py_projects/pandas/asv_bench/benchmarks/rolling.py
108,long parameters,7,5,../input_projects/py_projects/pandas/asv_bench/benchmarks/rolling.py
123,long parameters,7,5,../input_projects/py_projects/pandas/asv_bench/benchmarks/rolling.py
214,long parameters,6,5,../input_projects/py_projects/pandas/asv_bench/benchmarks/rolling.py
219,long parameters,6,5,../input_projects/py_projects/pandas/asv_bench/benchmarks/rolling.py
241,long parameters,7,5,../input_projects/py_projects/pandas/asv_bench/benchmarks/rolling.py
246,long parameters,7,5,../input_projects/py_projects/pandas/asv_bench/benchmarks/rolling.py
67,long parameters,6,5,../input_projects/py_projects/pandas/asv_bench/benchmarks/tslibs/fields.py
73,long parameters,6,5,../input_projects/py_projects/pandas/asv_bench/benchmarks/tslibs/fields.py
490,long parameters,6,5,../input_projects/py_projects/pandas/asv_bench/benchmarks/groupby.py
573,long parameters,6,5,../input_projects/py_projects/pandas/asv_bench/benchmarks/groupby.py
576,long parameters,6,5,../input_projects/py_projects/pandas/asv_bench/benchmarks/groupby.py
444,long parameters,6,5,../input_projects/py_projects/pandas/scripts/validate_docstrings.py
701,long parameters,6,5,../input_projects/py_projects/pandas/doc/source/conf.py
706,long parameters,6,5,../input_projects/py_projects/pandas/doc/source/conf.py
758,long parameters,6,5,../input_projects/py_projects/pandas/doc/source/conf.py
40,long parameters,8,5,../input_projects/py_projects/pandas/doc/make.py
64,long parameters,6,5,../input_projects/py_projects/pandas/pandas/compat/numpy/function.py
82,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/indexers/objects.py
97,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/indexers/objects.py
127,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/indexers/objects.py
185,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/indexers/objects.py
202,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/indexers/objects.py
283,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/indexers/objects.py
323,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/indexers/objects.py
351,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/indexers/objects.py
388,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/indexers/objects.py
445,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/indexers/objects.py
52,long parameters,9,5,../input_projects/py_projects/pandas/pandas/core/reshape/tile.py
271,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/reshape/tile.py
413,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/reshape/tile.py
137,long parameters,13,5,../input_projects/py_projects/pandas/pandas/core/reshape/merge.py
187,long parameters,12,5,../input_projects/py_projects/pandas/pandas/core/reshape/merge.py
299,long parameters,10,5,../input_projects/py_projects/pandas/pandas/core/reshape/merge.py
440,long parameters,14,5,../input_projects/py_projects/pandas/pandas/core/reshape/merge.py
737,long parameters,13,5,../input_projects/py_projects/pandas/pandas/core/reshape/merge.py
1805,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/reshape/merge.py
1897,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/reshape/merge.py
1962,long parameters,16,5,../input_projects/py_projects/pandas/pandas/core/reshape/merge.py
43,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/reshape/encoding.py
238,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/reshape/encoding.py
73,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/reshape/concat.py
90,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/reshape/concat.py
107,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/reshape/concat.py
124,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/reshape/concat.py
141,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/reshape/concat.py
157,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/reshape/concat.py
405,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/reshape/concat.py
545,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/reshape/concat.py
44,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/reshape/melt.py
221,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/reshape/melt.py
463,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/reshape/melt.py
63,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/reshape/pivot.py
118,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/reshape/pivot.py
256,long parameters,9,5,../input_projects/py_projects/pandas/pandas/core/reshape/pivot.py
364,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/reshape/pivot.py
448,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/reshape/pivot.py
578,long parameters,10,5,../input_projects/py_projects/pandas/pandas/core/reshape/pivot.py
64,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/accessor.py
136,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/accessor.py
390,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/nanops.py
607,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/nanops.py
909,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/nanops.py
956,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/nanops.py
1030,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/nanops.py
1388,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/nanops.py
255,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/strings/accessor.py
905,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/strings/accessor.py
1201,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/strings/accessor.py
1420,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/strings/accessor.py
129,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/strings/object_array.py
155,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/strings/object_array.py
57,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/strings/base.py
71,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/strings/base.py
343,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/missing.py
435,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/missing.py
549,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/missing.py
620,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/missing.py
719,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/missing.py
314,long parameters,9,5,../input_projects/py_projects/pandas/pandas/core/tools/datetimes.py
456,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/tools/datetimes.py
623,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/tools/datetimes.py
640,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/tools/datetimes.py
657,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/tools/datetimes.py
673,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/tools/datetimes.py
78,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/methods/to_dict.py
815,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/algorithms.py
862,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/algorithms.py
1067,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/algorithms.py
163,long parameters,10,5,../input_projects/py_projects/pandas/pandas/core/resample.py
923,long parameters,10,5,../input_projects/py_projects/pandas/pandas/core/resample.py
1305,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/resample.py
1321,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/resample.py
1636,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/resample.py
2056,long parameters,9,5,../input_projects/py_projects/pandas/pandas/core/resample.py
2103,long parameters,16,5,../input_projects/py_projects/pandas/pandas/core/resample.py
2556,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/resample.py
2635,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/resample.py
2709,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/resample.py
2793,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/resample.py
517,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/construction.py
693,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/construction.py
155,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/array_algos/quantile.py
26,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/array_algos/masked_reductions.py
68,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/array_algos/masked_reductions.py
81,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/array_algos/masked_reductions.py
94,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/array_algos/masked_reductions.py
164,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/array_algos/masked_reductions.py
182,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/array_algos/masked_reductions.py
512,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/array_algos/take.py
1070,long parameters,10,5,../input_projects/py_projects/pandas/pandas/core/generic.py
1142,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/generic.py
1155,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/generic.py
1168,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/generic.py
1180,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/generic.py
2268,long parameters,17,5,../input_projects/py_projects/pandas/pandas/core/generic.py
2433,long parameters,14,5,../input_projects/py_projects/pandas/pandas/core/generic.py
2720,long parameters,15,5,../input_projects/py_projects/pandas/pandas/core/generic.py
2874,long parameters,10,5,../input_projects/py_projects/pandas/pandas/core/generic.py
3331,long parameters,22,5,../input_projects/py_projects/pandas/pandas/core/generic.py
3358,long parameters,22,5,../input_projects/py_projects/pandas/pandas/core/generic.py
3388,long parameters,22,5,../input_projects/py_projects/pandas/pandas/core/generic.py
3673,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/generic.py
3741,long parameters,22,5,../input_projects/py_projects/pandas/pandas/core/generic.py
3768,long parameters,22,5,../input_projects/py_projects/pandas/pandas/core/generic.py
3802,long parameters,22,5,../input_projects/py_projects/pandas/pandas/core/generic.py
4589,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/generic.py
4713,long parameters,9,5,../input_projects/py_projects/pandas/pandas/core/generic.py
4727,long parameters,9,5,../input_projects/py_projects/pandas/pandas/core/generic.py
4741,long parameters,9,5,../input_projects/py_projects/pandas/pandas/core/generic.py
4754,long parameters,9,5,../input_projects/py_projects/pandas/pandas/core/generic.py
4794,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/generic.py
5046,long parameters,9,5,../input_projects/py_projects/pandas/pandas/core/generic.py
5060,long parameters,9,5,../input_projects/py_projects/pandas/pandas/core/generic.py
5074,long parameters,9,5,../input_projects/py_projects/pandas/pandas/core/generic.py
5087,long parameters,9,5,../input_projects/py_projects/pandas/pandas/core/generic.py
5240,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/generic.py
5256,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/generic.py
5272,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/generic.py
5287,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/generic.py
5344,long parameters,12,5,../input_projects/py_projects/pandas/pandas/core/generic.py
5612,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/generic.py
5974,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/generic.py
6890,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7059,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7101,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7114,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7127,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7144,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7446,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7458,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7470,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7486,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7607,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7640,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7652,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7663,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7679,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7811,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7844,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7857,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7870,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/generic.py
7888,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/generic.py
8153,long parameters,10,5,../input_projects/py_projects/pandas/pandas/core/generic.py
8168,long parameters,10,5,../input_projects/py_projects/pandas/pandas/core/generic.py
8183,long parameters,10,5,../input_projects/py_projects/pandas/pandas/core/generic.py
8198,long parameters,10,5,../input_projects/py_projects/pandas/pandas/core/generic.py
8882,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
8894,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
8906,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
8918,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
9113,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/generic.py
9381,long parameters,12,5,../input_projects/py_projects/pandas/pandas/core/generic.py
9947,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
10104,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/generic.py
10187,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/generic.py
10477,long parameters,10,5,../input_projects/py_projects/pandas/pandas/core/generic.py
10533,long parameters,10,5,../input_projects/py_projects/pandas/pandas/core/generic.py
10613,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
10765,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
10777,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
10789,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
10808,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
10984,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
10996,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
11008,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
11028,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
11079,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/generic.py
11536,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
11981,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/generic.py
12167,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
12237,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
12292,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/generic.py
12323,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/generic.py
12335,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/generic.py
12347,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/generic.py
12360,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/generic.py
12457,long parameters,8,5,../input_projects/py_projects/pandas/pandas/core/generic.py
12495,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/generic.py
12507,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/generic.py
12529,long parameters,10,5,../input_projects/py_projects/pandas/pandas/core/generic.py
12623,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/generic.py
389,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/series.py
1580,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/series.py
1592,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/series.py
1604,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/series.py
1615,long parameters,7,5,../input_projects/py_projects/pandas/pandas/core/series.py
1778,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/series.py
1794,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/series.py
1809,long parameters,11,5,../input_projects/py_projects/pandas/pandas/core/series.py
1924,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/series.py
2219,long parameters,9,5,../input_projects/py_projects/pandas/pandas/core/series.py
3347,long parameters,6,5,../input_projects/py_projects/pandas/pandas/core/series.py
3637,long parameters,9,5,../input_projects/py_projects/pandas/pandas/core/series.py
3651,long parameters,9,5,../input_projects/py_projects/pandas/pandas/core/series.py
3665,long parameters,9,5,../input_projects/py_projects/pandas/pandas/core/series.py
