Line,Smell,Cause,Number of Conditions,Threshold,File
69,complex conditional,long if,5,3,../input_projects/py_projects/pytest/testing/conftest.py
50,complex conditional,long if,4,3,../input_projects/py_projects/pytest/testing/test_argcomplete.py
54,complex conditional,long if,4,3,../input_projects/py_projects/pytest/testing/test_main.py
1000,complex conditional,long if,4,3,../input_projects/py_projects/pytest/testing/logging/test_reporting.py
28,complex conditional,long if,4,3,../input_projects/py_projects/pytest/scripts/generate-gh-release-notes.py
104,complex conditional,long if,4,3,../input_projects/py_projects/pytest/scripts/prepare-release-pr.py
10,complex conditional,long if,4,3,../input_projects/py_projects/pytest/doc/en/example/assertion/global_testmodule_config/conftest.py
96,complex conditional,long if,4,3,../input_projects/py_projects/pytest/src/_pytest/skipping.py
270,complex conditional,long if,8,3,../input_projects/py_projects/pytest/src/_pytest/skipping.py
295,complex conditional,long if,4,3,../input_projects/py_projects/pytest/src/_pytest/skipping.py
186,complex conditional,long if,7,3,../input_projects/py_projects/pytest/src/_pytest/logging.py
209,complex conditional,long if,5,3,../input_projects/py_projects/pytest/src/_pytest/logging.py
930,complex conditional,long if,4,3,../input_projects/py_projects/pytest/src/_pytest/logging.py
90,complex conditional,long if,4,3,../input_projects/py_projects/pytest/src/_pytest/unittest.py
368,complex conditional,long if,5,3,../input_projects/py_projects/pytest/src/_pytest/unittest.py
130,complex conditional,long if,4,3,../input_projects/py_projects/pytest/src/_pytest/runner.py
209,complex conditional,long if,4,3,../input_projects/py_projects/pytest/src/_pytest/runner.py
228,complex conditional,long if,4,3,../input_projects/py_projects/pytest/src/_pytest/runner.py
392,complex conditional,long if,5,3,../input_projects/py_projects/pytest/src/_pytest/runner.py
34,complex conditional,long if,4,3,../input_projects/py_projects/pytest/src/_pytest/pastebin.py
288,complex conditional,long if,5,3,../input_projects/py_projects/pytest/src/_pytest/terminal.py
594,complex conditional,long if,6,3,../input_projects/py_projects/pytest/src/_pytest/terminal.py
606,complex conditional,long if,8,3,../input_projects/py_projects/pytest/src/_pytest/terminal.py
652,complex conditional,long if,5,3,../input_projects/py_projects/pytest/src/_pytest/terminal.py
677,complex conditional,long if,4,3,../input_projects/py_projects/pytest/src/_pytest/terminal.py
704,complex conditional,long if,4,3,../input_projects/py_projects/pytest/src/_pytest/terminal.py
766,complex conditional,long if,4,3,../input_projects/py_projects/pytest/src/_pytest/terminal.py
820,complex conditional,long if,5,3,../input_projects/py_projects/pytest/src/_pytest/terminal.py
855,complex conditional,long if,4,3,../input_projects/py_projects/pytest/src/_pytest/terminal.py
972,complex conditional,long if,10,3,../input_projects/py_projects/pytest/src/_pytest/terminal.py
1034,complex conditional,long if,5,3,../input_projects/py_projects/pytest/src/_pytest/terminal.py
1081,complex conditional,long if,5,3,../input_projects/py_projects/pytest/src/_pytest/terminal.py
1099,complex conditional,long if,4,3,../input_projects/py_projects/pytest/src/_pytest/terminal.py
1257,complex conditional,long if,4,3,../input_projects/py_projects/pytest/src/_pytest/terminal.py
1331,complex conditional,long if,4,3,../input_projects/py_projects/pytest/src/_pytest/terminal.py
1502,complex conditional,long if,5,3,../input_projects/py_projects/pytest/src/_pytest/terminal.py
51,complex conditional,long if,5,3,../input_projects/py_projects/pytest/src/_pytest/config/compat.py
318,complex conditional,long if,4,3,../input_projects/py_projects/pytest/src/_pytest/config/__init__.py
