Line,Smell,Number of Lines,Threshold_nol,Number of Children,Threshold_noc,File
74,long class,672,200,96,20,../input_projects/py_projects/pytest/testing/test_assertrewrite.py
749,long class,277,200,17,20,../input_projects/py_projects/pytest/testing/test_assertrewrite.py
472,long class,288,200,13,20,../input_projects/py_projects/pytest/testing/test_mark.py
96,long class,842,200,65,20,../input_projects/py_projects/pytest/testing/python/approx.py
266,long class,454,200,31,20,../input_projects/py_projects/pytest/testing/python/collect.py
32,long class,1059,200,76,20,../input_projects/py_projects/pytest/testing/python/metafunc.py
1094,long class,557,200,25,20,../input_projects/py_projects/pytest/testing/python/metafunc.py
1817,long class,301,200,15,20,../input_projects/py_projects/pytest/testing/python/metafunc.py
10,long class,307,200,31,20,../input_projects/py_projects/pytest/testing/python/raises.py
106,long class,542,200,23,20,../input_projects/py_projects/pytest/testing/python/fixtures.py
651,long class,454,200,20,20,../input_projects/py_projects/pytest/testing/python/fixtures.py
1193,long class,346,200,15,20,../input_projects/py_projects/pytest/testing/python/fixtures.py
1542,long class,237,200,8,20,../input_projects/py_projects/pytest/testing/python/fixtures.py
1960,long class,253,200,9,20,../input_projects/py_projects/pytest/testing/python/fixtures.py
2216,long class,1052,200,34,20,../input_projects/py_projects/pytest/testing/python/fixtures.py
3392,long class,289,200,14,20,../input_projects/py_projects/pytest/testing/python/fixtures.py
4008,long class,343,200,8,20,../input_projects/py_projects/pytest/testing/python/fixtures.py
253,long class,294,200,26,20,../input_projects/py_projects/pytest/testing/test_recwarn.py
13,long class,280,200,13,20,../input_projects/py_projects/pytest/testing/test_skipping.py
296,long class,443,200,25,20,../input_projects/py_projects/pytest/testing/test_skipping.py
453,long class,211,200,9,20,../input_projects/py_projects/pytest/testing/test_unittest.py
120,long class,209,200,31,20,../input_projects/py_projects/pytest/testing/code/test_excinfo.py
537,long class,945,200,45,20,../input_projects/py_projects/pytest/testing/code/test_excinfo.py
85,long class,355,200,14,20,../input_projects/py_projects/pytest/testing/test_terminal.py
714,long class,434,200,23,20,../input_projects/py_projects/pytest/testing/test_terminal.py
1436,long class,220,200,9,20,../input_projects/py_projects/pytest/testing/test_terminal.py
2019,long class,220,200,12,20,../input_projects/py_projects/pytest/testing/test_terminal.py
2614,long class,230,200,12,20,../input_projects/py_projects/pytest/testing/test_terminal.py
15,long class,421,200,18,20,../input_projects/py_projects/pytest/testing/test_reports.py
24,long class,205,200,11,20,../input_projects/py_projects/pytest/testing/test_pluginmanager.py
145,long class,294,200,14,20,../input_projects/py_projects/pytest/testing/test_runner.py
