Line,Smell,Number of Parameters,Threshold,File
41,long parameters,6,5,../input_projects/py_projects/pytest/testing/test_config.py
315,long parameters,6,5,../input_projects/py_projects/pytest/testing/test_config.py
465,long parameters,6,5,../input_projects/py_projects/pytest/testing/test_config.py
35,long parameters,7,5,../input_projects/py_projects/pytest/doc/en/example/fixtures/test_fixtures_order_scope.py
285,long parameters,9,5,../input_projects/py_projects/pytest/src/_pytest/runner.py
86,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/terminal.py
459,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/terminal.py
543,long parameters,10,5,../input_projects/py_projects/pytest/src/_pytest/config/__init__.py
609,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/config/__init__.py
634,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/config/__init__.py
683,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/config/__init__.py
1311,long parameters,8,5,../input_projects/py_projects/pytest/src/_pytest/config/__init__.py
354,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/config/argparsing.py
39,long parameters,9,5,../input_projects/py_projects/pytest/src/_pytest/pytester_assertions.py
152,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/mark/structures.py
213,long parameters,8,5,../input_projects/py_projects/pytest/src/_pytest/mark/structures.py
459,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/mark/structures.py
473,long parameters,8,5,../input_projects/py_projects/pytest/src/_pytest/mark/structures.py
55,long parameters,8,5,../input_projects/py_projects/pytest/src/_pytest/tmpdir.py
455,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/_code/code.py
469,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_code/code.py
631,long parameters,8,5,../input_projects/py_projects/pytest/src/_pytest/_code/code.py
735,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/_code/code.py
34,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/python_api.py
97,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
133,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
157,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
174,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
193,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
208,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
223,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
249,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
308,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
337,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
355,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
370,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
392,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
416,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
453,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
479,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
495,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
516,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
535,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
554,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
567,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
580,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/_io/pprint.py
599,long parameters,9,5,../input_projects/py_projects/pytest/src/_pytest/pytester.py
672,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/pytester.py
1334,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/pytester.py
1659,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/pytester.py
46,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/outcomes.py
465,long parameters,8,5,../input_projects/py_projects/pytest/src/_pytest/junitxml.py
667,long parameters,8,5,../input_projects/py_projects/pytest/src/_pytest/python.py
762,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/python.py
1073,long parameters,8,5,../input_projects/py_projects/pytest/src/_pytest/python.py
1128,long parameters,8,5,../input_projects/py_projects/pytest/src/_pytest/python.py
1163,long parameters,8,5,../input_projects/py_projects/pytest/src/_pytest/python.py
1691,long parameters,10,5,../input_projects/py_projects/pytest/src/_pytest/python.py
257,long parameters,13,5,../input_projects/py_projects/pytest/src/_pytest/reports.py
395,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/reports.py
274,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/doctest.py
533,long parameters,8,5,../input_projects/py_projects/pytest/src/_pytest/doctest.py
160,long parameters,8,5,../input_projects/py_projects/pytest/src/_pytest/nodes.py
564,long parameters,9,5,../input_projects/py_projects/pytest/src/_pytest/nodes.py
619,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/nodes.py
664,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/nodes.py
138,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/_py/path.py
523,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/_py/path.py
214,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/legacypath.py
346,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/fixtures.py
698,long parameters,8,5,../input_projects/py_projects/pytest/src/_pytest/fixtures.py
857,long parameters,6,5,../input_projects/py_projects/pytest/src/_pytest/fixtures.py
960,long parameters,11,5,../input_projects/py_projects/pytest/src/_pytest/fixtures.py
1213,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/fixtures.py
1228,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/fixtures.py
1242,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/fixtures.py
1319,long parameters,7,5,../input_projects/py_projects/pytest/src/_pytest/fixtures.py
1603,long parameters,10,5,../input_projects/py_projects/pytest/src/_pytest/fixtures.py
